"Date","Index","D12","E12","b/m","tbl","AAA","BAA","lty","ntis","Rfree","infl","ltr","corpr","svar","csp","CRSP_SPvw","CRSP_SPvwx"
"1871-01-01","4.44","0.26","0.4","NaN","NaN","NaN","NaN","NaN","NaN","0.004955124519564544","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1871-02-01","4.5","0.26","0.4","NaN","NaN","NaN","NaN","NaN","NaN","0.004514457646204628","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1871-03-01","4.61","0.26","0.4","NaN","NaN","NaN","NaN","NaN","NaN","0.004242616245562377","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1871-04-01","4.74","0.26","0.4","NaN","NaN","NaN","NaN","NaN","NaN","0.00463198780093736","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1871-05-01","4.86","0.26","0.4","NaN","NaN","NaN","NaN","NaN","NaN","0.003691359562193827","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1871-06-01","4.82","0.26","0.4","NaN","NaN","NaN","NaN","NaN","NaN","0.0033678141504435155","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1871-07-01","4.73","0.26","0.4","NaN","NaN","NaN","NaN","NaN","NaN","0.0032501353144837723","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1871-08-01","4.79","0.26","0.4","NaN","NaN","NaN","NaN","NaN","NaN","0.003706063684841191","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1871-09-01","4.84","0.26","0.4","NaN","NaN","NaN","NaN","NaN","NaN","0.004543841479913492","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1871-10-01","4.59","0.26","0.4","NaN","NaN","NaN","NaN","NaN","NaN","0.007016333968854412","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1871-11-01","4.64","0.26","0.4","NaN","NaN","NaN","NaN","NaN","NaN","0.006466604617099373","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1871-12-01","4.74","0.26","0.4","NaN","NaN","NaN","NaN","NaN","NaN","0.006950382400706362","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1872-01-01","4.86","0.2633","0.4025","NaN","NaN","NaN","NaN","NaN","NaN","0.0057478358700357775","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1872-02-01","4.88","0.2667","0.405","NaN","NaN","NaN","NaN","NaN","NaN","0.005204749577222117","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1872-03-01","5.04","0.27","0.4075","NaN","NaN","NaN","NaN","NaN","NaN","0.005982592679265292","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1872-04-01","5.18","0.2733","0.41","NaN","NaN","NaN","NaN","NaN","NaN","0.00601193340582287","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1872-05-01","5.18","0.2767","0.4125","NaN","NaN","NaN","NaN","NaN","NaN","0.0049404387519301","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1872-06-01","5.13","0.28","0.415","NaN","NaN","NaN","NaN","NaN","NaN","0.004058897780585596","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1872-07-01","5.1","0.2833","0.4175","NaN","NaN","NaN","NaN","NaN","NaN","0.004389566719631078","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1872-08-01","5.04","0.2867","0.42","NaN","NaN","NaN","NaN","NaN","NaN","0.005204749577222117","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1872-09-01","4.95","0.29","0.4225","NaN","NaN","NaN","NaN","NaN","NaN","0.006994350596091521","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
