Date,ticker,ISIN,totalwrds,partwrds,RVT,positivescore,negativescore,fearscore,findownscore,finupscore,finhypescore,finvolatilescore,certaintyscore,uncertaintyscore,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,finvolatilePartscr,certaintyPartscr,uncertaintyPartscr,Open,High,Low,Close,Adj Close,Volume
2017-01-03,AAPL,US0378331005,7488.0,6397.0,0.3214,0.0175,0.0082,0.0004,0.0044,0.0162,0.0294,0.0076,0.0202,0.0142,0.0172,0.0089,0.0005,0.0052,0.0168,0.0311,0.0072,0.0203,0.0144,115.800003,116.33000200000001,114.760002,116.150002,113.41026299999999,28781900.0
2017-01-04,AAPL,US0378331005,2595.0,2191.0,0.5690,0.0133,0.0078,0.0006,0.0051,0.0163,0.0263,0.0056,0.0171,0.0121,0.0139,0.0087,0.0002,0.0061,0.0174,0.0265,0.0053,0.0163,0.0128,115.849998,116.510002,115.75,116.019997,113.28333300000001,21118100.0
2017-01-05,AAPL,US0378331005,2311.0,2120.0,0.3212,0.0144,0.0091,0.0000,0.0042,0.0204,0.0083,0.0030,0.0025,0.0093,0.0152,0.0097,0.0000,0.0045,0.0220,0.0080,0.0032,0.0021,0.0096,115.91999799999999,116.860001,115.809998,116.610001,113.859421,22193600.0
2017-01-06,AAPL,US0378331005,3180.0,2755.0,0.4436,0.0077,0.0228,0.0000,0.0235,0.0099,0.0097,0.0030,0.0054,0.0082,0.0086,0.0236,0.0000,0.0250,0.0107,0.0080,0.0035,0.0034,0.0091,116.779999,118.160004,116.470001,117.910004,115.12876100000001,31751900.0
2017-01-09,AAPL,US0378331005,11335.0,9795.0,0.4464,0.0151,0.0222,0.001,0.015,0.0132,0.0163,0.0118,0.0066,0.0095,0.0148,0.0224,0.0009,0.0149,0.0119,0.0149,0.0123,0.0055,0.0099,117.949997,119.43,117.940002,118.989998,116.183273,33561900.0
2017-01-10,AAPL,US0378331005,5094.0,4449.0,0.4166,0.0124,0.0156,0.0005,0.0073,0.0202,0.0095,0.0117,0.0046,0.0052,0.0120,0.0155,0.0006,0.0077,0.0197,0.0105,0.0121,0.0047,0.0058,118.769997,119.379997,118.300003,119.110001,116.30043799999999,24462100.0
2017-01-11,AAPL,US0378331005,2636.0,2182.0,0.2716,0.0262,0.0133,0.0000,0.0068,0.0356,0.0091,0.0114,0.0034,0.0049,0.0307,0.0151,0.0000,0.0078,0.0385,0.0101,0.0137,0.0041,0.0060,118.739998,119.93,118.599998,119.75,116.92534599999999,27588600.0
2017-01-12,AAPL,US0378331005,2419.0,2172.0,0.2881,0.0197,0.0141,0.0000,0.0055,0.0280,0.0118,0.0155,0.0049,0.0084,0.0214,0.0137,0.0000,0.0052,0.0293,0.0128,0.0169,0.0053,0.0078,118.900002,119.300003,118.209999,119.25,116.437141,27086200.0
2017-01-13,AAPL,US0378331005,1413.0,1334.0,0.0844,0.0127,0.0304,0.0000,0.0085,0.0113,0.0050,0.0078,0.0000,0.0085,0.0135,0.0277,0.0000,0.0090,0.0120,0.0052,0.0082,0.0000,0.0067,119.110001,119.620003,118.809998,119.040001,116.232101,26111900.0
2017-01-17,AAPL,US0378331005,2682.0,2307.0,0.0847,0.0104,0.016,0.0015,0.0086,0.0142,0.0256,0.0147,0.0037,0.0131,0.0104,0.0156,0.0017,0.0065,0.0134,0.0147,0.0078,0.0026,0.0152,118.339996,120.239998,118.220001,120.0,117.169449,34439800.0
2017-01-18,AAPL,US0378331005,3176.0,2846.0,0.3497,0.0201,0.0592,0.0000,0.0082,0.0094,0.0123,0.0079,0.0032,0.0035,0.0214,0.0646,0.0000,0.0077,0.0095,0.0120,0.0084,0.0021,0.0035,120.0,120.5,119.709999,119.989998,117.159683,23713000.0
2017-01-19,AAPL,US0378331005,3158.0,2833.0,0.3571,0.0231,0.0469,0.0006,0.0114,0.0073,0.0142,0.0066,0.0073,0.0054,0.0244,0.0508,0.0007,0.0127,0.0067,0.0152,0.0074,0.0074,0.0053,119.400002,120.089996,119.370003,119.779999,116.95463600000001,25597300.0
2017-01-20,AAPL,US0378331005,2785.0,2752.0,0.3267,0.0116,0.0579,0.0007,0.0043,0.0068,0.0108,0.0068,0.0043,0.0068,0.0113,0.0593,0.0007,0.0037,0.0065,0.0109,0.0062,0.0037,0.0065,120.449997,120.449997,119.730003,120.0,117.169449,32597900.0
2017-01-23,AAPL,US0378331005,7383.0,6346.0,0.5865,0.0157,0.0436,0.0015,0.0047,0.0143,0.0138,0.0085,0.0076,0.0141,0.0156,0.0488,0.0017,0.005,0.013,0.0146,0.0101,0.0059,0.0128,120.0,120.809998,119.769997,120.08000200000001,117.24756599999999,22050200.0
2017-01-24,AAPL,US0378331005,3949.0,3186.0,0.3651,0.0148,0.0287,0.0005,0.0155,0.0195,0.0191,0.0087,0.0101,0.0083,0.0168,0.0325,0.0006,0.0144,0.0209,0.0196,0.0089,0.0118,0.0091,119.550003,120.099998,119.5,119.970001,117.14016000000001,23211000.0
2017-01-25,AAPL,US0378331005,3068.0,2605.0,0.3943,0.0078,0.0440,0.0013,0.0042,0.0121,0.0085,0.0029,0.0042,0.0065,0.0065,0.0488,0.0015,0.0038,0.0104,0.0073,0.0019,0.0046,0.0069,120.41999799999999,122.099998,120.279999,121.879997,119.005104,32377600.0
2017-01-26,AAPL,US0378331005,1318.0,1282.0,0.5261,0.0098,0.0280,0.0000,0.0046,0.0129,0.0129,0.0030,0.0023,0.0075,0.0101,0.0288,0.0000,0.0047,0.0133,0.0132,0.0031,0.0023,0.0078,121.66999799999999,122.440002,121.599998,121.940002,119.063698,26337600.0
2017-01-27,AAPL,US0378331005,5007.0,4184.0,0.4656,0.0100,0.0363,0.0006,0.0100,0.0178,0.0094,0.0074,0.0030,0.0082,0.0103,0.0301,0.0007,0.0100,0.0191,0.0086,0.0067,0.0026,0.0072,122.139999,122.349998,121.599998,121.949997,119.07345600000001,20562900.0
2017-01-30,AAPL,US0378331005,23728.0,20028.0,0.7298,0.0154,0.0225,0.0018,0.0108,0.0176,0.0212,0.0058,0.0105,0.0123,0.0169,0.0219,0.0018,0.0102,0.0195,0.0196,0.0061,0.0084,0.0129,120.93,121.629997,120.660004,121.629997,118.761009,30377500.0
2017-01-31,AAPL,US0378331005,5414.0,5981.0,0.4922,0.0139,0.0203,0.0019,0.0113,0.0157,0.0159,0.0030,0.0078,0.0128,0.0117,0.0150,0.0013,0.0095,0.0137,0.0120,0.0021,0.0055,0.0112,121.150002,121.389999,120.620003,121.349998,118.487602,49201000.0
2017-02-01,AAPL,US0378331005,812.0,774.0,1.0000,0.0283,0.0259,0.0000,0.0099,0.0431,0.0099,0.0135,0.0049,0.0062,0.0297,0.0271,0.0000,0.0078,0.0439,0.0090,0.0103,0.0039,0.0065,127.029999,130.490005,127.010002,128.75,125.71305100000001,111985000.0
2017-02-02,AAPL,US0378331005,1521.0,1374.0,0.3575,0.0134,0.0123,0.0010,0.0060,0.0261,0.0095,0.0048,0.0049,0.0060,0.0133,0.0121,0.0004,0.0057,0.0260,0.0101,0.0041,0.0046,0.0064,127.980003,129.389999,127.779999,128.529999,125.498253,33710400.0
2017-02-03,AAPL,US0378331005,1258.0,1070.0,0.1380,0.0183,0.0279,0.0000,0.0103,0.0135,0.0079,0.0135,0.0031,0.0071,0.0187,0.0271,0.0000,0.0103,0.0150,0.0074,0.0140,0.0037,0.0074,128.309998,129.190002,128.16000400000001,129.080002,126.03526299999999,24507300.0
2017-02-06,AAPL,US0378331005,2865.0,2469.0,0.1343,0.0157,0.0335,0.0014,0.0129,0.0296,0.0186,0.0074,0.0087,0.0126,0.0162,0.0348,0.0012,0.0121,0.0279,0.0134,0.0037,0.0048,0.0138,129.130005,130.5,128.899994,130.28999299999998,127.21672099999999,26845900.0
2017-02-07,AAPL,US0378331005,368.0,292.0,0.3389,0.0081,0.0473,0.0054,0.0027,0.0135,0.0027,0.0081,0.0027,0.0054,0.0102,0.0451,0.0033,0.0033,0.0136,0.0033,0.0068,0.0033,0.0050,130.53999299999998,132.08999599999999,130.449997,131.529999,128.427475,38183800.0
2017-02-08,AAPL,US0378331005,1637.0,1224.0,0.3425,0.0165,0.0110,0.0006,0.0025,0.0196,0.0220,0.0037,0.0036,0.0116,0.0131,0.0098,0.0008,0.0033,0.0188,0.0229,0.0041,0.0041,0.0147,131.350006,132.220001,131.220001,132.03999299999998,128.925446,23004100.0
2017-02-09,AAPL,US0378331005,1441.0,1041.0,0.2492,0.0139,0.0347,0.0014,0.0076,0.0229,0.0167,0.0070,0.0055,0.0090,0.0135,0.0384,0.0019,0.0067,0.0230,0.0144,0.0077,0.0009,0.0106,131.649994,132.449997,131.119995,132.419998,129.857056,28349900.0
2017-02-10,AAPL,US0378331005,161.0,121.0,0.0539,0.0186,0.0124,0.0062,0.0000,0.0124,0.0186,0.0248,0.0062,0.0124,0.0248,0.0083,0.0083,0.0000,0.0165,0.0248,0.0331,0.0083,0.0165,132.46000700000002,132.940002,132.050003,132.119995,129.56286599999999,20065500.0
2017-02-13,AAPL,US0378331005,8302.0,7335.0,0.8064,0.0149,0.0147,0.0006,0.0046,0.0188,0.0149,0.0057,0.0070,0.0141,0.0156,0.0143,0.0005,0.0047,0.0189,0.0176,0.0067,0.0075,0.0147,133.080002,133.820007,132.75,133.28999299999998,130.71018999999998,23035400.0
2017-02-14,AAPL,US0378331005,3208.0,2763.0,0.4659,0.0172,0.0178,0.0000,0.0082,0.0293,0.0125,0.0088,0.0066,0.0100,0.0191,0.0186,0.0000,0.0079,0.0337,0.0139,0.0095,0.0074,0.0115,133.470001,135.08999599999999,133.25,135.020004,132.406754,33226200.0
2017-02-15,AAPL,US0378331005,2309.0,2021.0,0.3651,0.0243,0.0130,0.0004,0.0061,0.0308,0.0169,0.0078,0.0052,0.0152,0.0262,0.0133,0.0005,0.0069,0.0307,0.0183,0.0084,0.0054,0.0173,135.520004,136.270004,134.619995,135.509995,132.88725300000002,35623100.0
2017-02-16,AAPL,US0378331005,444.0,406.0,0.2949,0.0338,0.0023,0.0000,0.0000,0.0270,0.0180,0.0023,0.0135,0.0023,0.0369,0.0025,0.0000,0.0000,0.0296,0.0172,0.0025,0.0148,0.0000,135.669998,135.899994,134.83999599999999,135.350006,132.730377,22584600.0
2017-02-17,AAPL,US0378331005,960.0,816.0,0.1054,0.0323,0.0323,0.0010,0.0240,0.0604,0.0344,0.0177,0.0042,0.0260,0.0319,0.0294,0.0012,0.0221,0.0625,0.0343,0.0184,0.0012,0.0245,135.100006,135.830002,135.100006,135.720001,133.09321599999998,22198200.0
2017-02-21,AAPL,US0378331005,4373.0,3712.0,0.4292,0.0211,0.0188,0.0017,0.0101,0.0386,0.0270,0.0095,0.0144,0.0126,0.0216,0.0178,0.002,0.0108,0.0382,0.0236,0.0112,0.0142,0.0132,136.229996,136.75,135.979996,136.699997,134.054214,24507200.0
2017-02-22,AAPL,US0378331005,3445.0,3111.0,0.3138,0.0155,0.0150,0.0017,0.0047,0.0224,0.0285,0.0073,0.0201,0.0099,0.0165,0.0162,0.0016,0.0051,0.0231,0.0302,0.0080,0.0219,0.0100,136.429993,137.119995,136.110001,137.110001,134.456299,20836900.0
2017-02-23,AAPL,US0378331005,1126.0,1016.0,0.2715,0.0064,0.0087,0.0000,0.0028,0.0039,0.0096,0.0022,0.0105,0.0040,0.0071,0.0094,0.0000,0.0029,0.0041,0.0105,0.0024,0.0115,0.0044,137.380005,137.479996,136.300003,136.529999,133.88751200000002,20788200.0
2017-02-24,AAPL,US0378331005,2088.0,1657.0,0.3819,0.0129,0.0283,0.0019,0.0201,0.0206,0.0148,0.0086,0.0072,0.0124,0.0145,0.0277,0.0024,0.0175,0.0217,0.0163,0.0103,0.0085,0.0133,135.91000400000001,136.66000400000001,135.279999,136.66000400000001,134.01501499999998,21776600.0
2017-02-27,AAPL,US0378331005,11230.0,9573.0,0.5502,0.0124,0.0117,0.0006,0.0072,0.0173,0.0066,0.0050,0.0038,0.0077,0.0128,0.0128,0.0007,0.0071,0.0183,0.0108,0.0053,0.0044,0.0085,137.139999,137.440002,136.279999,136.929993,134.279785,20257400.0
2017-02-28,AAPL,US0378331005,4183.0,3489.0,0.3712,0.0140,0.0141,0.0002,0.0047,0.0207,0.0172,0.0057,0.0083,0.0085,0.0160,0.0138,0.0000,0.0047,0.0235,0.0174,0.0063,0.0085,0.0088,137.080002,137.440002,136.699997,136.990005,134.33862299999998,23482900.0
2017-03-01,AAPL,US0378331005,1515.0,1269.0,0.2636,0.0156,0.0106,0.0007,0.0080,0.0251,0.0194,0.0061,0.0069,0.0173,0.0139,0.0079,0.0008,0.0073,0.0214,0.0223,0.0041,0.0082,0.0199,137.889999,140.149994,137.600006,139.78999299999998,137.08441200000001,36414600.0
2017-03-02,AAPL,US0378331005,570.0,491.0,0.2424,0.0053,0.0158,0.0000,0.0123,0.0246,0.0105,0.0000,0.0070,0.0070,0.0061,0.0183,0.0000,0.0142,0.0244,0.0122,0.0000,0.0082,0.0082,140.0,140.279999,138.759995,138.96000700000002,136.270508,26211000.0
