Date,ticker,ISIN,totalwrds,partwrds,RVT,positivescore,negativescore,fearscore,findownscore,finupscore,finhypescore,finvolatilescore,certaintyscore,uncertaintyscore,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,finvolatilePartscr,certaintyPartscr,uncertaintyPartscr,Open,High,Low,Close,Adj Close,Volume
2017-01-03,AMZN,US0231351067,3739.0,3563.0,0.3268,0.0219,0.0326,0.0016,0.0115,0.0222,0.0142,0.0106,0.0052,0.0136,0.0209,0.0314,0.0017,0.0104,0.0225,0.0174,0.0095,0.0056,0.014,757.919983,758.76001,747.700012,753.669983,753.669983,3521100.0
2017-01-04,AMZN,US0231351067,4766.0,4541.0,0.6006,0.0197,0.0064,0.0007,0.0041,0.0131,0.0163,0.0055,0.0075,0.0082,0.0195,0.0063,0.0006,0.0039,0.0135,0.0155,0.0054,0.0071,0.0077,758.3900150000001,759.679993,754.200012,757.179993,757.179993,2510500.0
2017-01-05,AMZN,US0231351067,6072.0,5784.0,0.5992,0.0162,0.0092,0.0003,0.0060,0.0122,0.0183,0.0060,0.0071,0.0077,0.0163,0.0085,0.0003,0.0061,0.0120,0.0173,0.0062,0.0069,0.0067,761.549988,782.400024,760.26001,780.450012,780.450012,5830100.0
2017-01-06,AMZN,US0231351067,1077.0,1056.0,0.1122,0.0121,0.0065,0.0019,0.0010,0.0047,0.0223,0.0010,0.0093,0.0130,0.0123,0.0067,0.0019,0.0010,0.0038,0.0228,0.0010,0.0095,0.0133,782.3599849999999,799.4400019999999,778.47998,795.98999,795.98999,5986200.0
2017-01-09,AMZN,US0231351067,8267.0,7661.0,0.2635,0.0149,0.019,0.0007,0.0131,0.0174,0.0160,0.0110,0.0050,0.0079,0.0146,0.0193,0.0007,0.0129,0.0182,0.0132,0.0127,0.0046,0.008,798.0,801.77002,791.77002,796.919983,796.919983,3440100.0
2017-01-10,AMZN,US0231351067,4375.0,4278.0,0.4099,0.0208,0.0170,0.0016,0.0044,0.0119,0.0158,0.0081,0.0073,0.0062,0.0207,0.0170,0.0016,0.0042,0.0121,0.0162,0.0083,0.0075,0.0064,796.599976,798.0,789.539978,795.900024,795.900024,2558400.0
2017-01-11,AMZN,US0231351067,3041.0,2955.0,0.2967,0.0263,0.0102,0.0007,0.0023,0.0053,0.0197,0.0033,0.0128,0.0033,0.0270,0.0105,0.0007,0.0024,0.0054,0.0196,0.0034,0.0125,0.0034,793.659973,799.5,789.51001,799.02002,799.02002,2992800.0
2017-01-12,AMZN,US0231351067,6068.0,5729.0,0.5303,0.0123,0.0170,0.0010,0.0061,0.0153,0.0124,0.0055,0.0055,0.0066,0.0125,0.0160,0.0010,0.0059,0.0146,0.0128,0.0056,0.0058,0.0067,800.3099980000001,814.130005,799.5,813.6400150000001,813.6400150000001,4873900.0
2017-01-13,AMZN,US0231351067,3273.0,3149.0,0.2574,0.0116,0.0186,0.0009,0.0066,0.0152,0.0204,0.0066,0.0069,0.0092,0.0112,0.0183,0.0009,0.0069,0.0154,0.0211,0.0069,0.0069,0.0096,814.320007,821.650024,811.400024,817.1400150000001,817.1400150000001,3791900.0
2017-01-17,AMZN,US0231351067,2106.0,1899.0,0.1359,0.0119,0.0162,0.0005,0.0124,0.0219,0.0168,0.0084,0.0108,0.02,0.0127,0.0154,0.0,0.0127,0.0237,0.0311,0.0074,0.0127,0.0206,815.700012,816.0,803.4400019999999,809.719971,809.719971,3659400.0
2017-01-18,AMZN,US0231351067,3340.0,3161.0,0.4317,0.0129,0.0221,0.0015,0.0063,0.0162,0.0144,0.0078,0.0066,0.0114,0.0123,0.0209,0.0006,0.0066,0.0158,0.0139,0.0073,0.0066,0.0107,809.5,811.72998,804.27002,807.47998,807.47998,2354200.0
2017-01-19,AMZN,US0231351067,5610.0,5433.0,0.4907,0.0232,0.0289,0.0005,0.0084,0.0084,0.0144,0.0064,0.0082,0.0030,0.0238,0.0296,0.0005,0.0083,0.0079,0.0144,0.0066,0.0079,0.0030,810.0,813.51001,807.320007,809.039978,809.039978,2540800.0
2017-01-20,AMZN,US0231351067,1396.0,1299.0,0.2124,0.0194,0.0179,0.0000,0.0100,0.0107,0.0194,0.0036,0.0093,0.0100,0.0208,0.0193,0.0000,0.0108,0.0093,0.0185,0.0039,0.0093,0.0093,815.280029,816.02002,806.26001,808.330017,808.330017,3376200.0
2017-01-23,AMZN,US0231351067,4113.0,3874.0,0.4133,0.0186,0.0157,0.0003,0.0101,0.022,0.0144,0.0095,0.0100,0.0093,0.0192,0.0156,0.0,0.0101,0.022,0.0177,0.0086,0.0107,0.0095,806.799988,818.5,805.080017,817.880005,817.880005,2797500.0
