Date,ticker,ISIN,totalwrds,partwrds,RVT,positivescore,negativescore,fearscore,findownscore,finupscore,finhypescore,finvolatilescore,certaintyscore,uncertaintyscore,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,finvolatilePartscr,certaintyPartscr,uncertaintyPartscr,Open,High,Low,Close,Adj Close,Volume
2017-01-03,BA,GB0002634946,354.0,240.0,0.0744,0.0028,0.0085,0.0000,0.0028,0.0057,0.0085,0.0000,0.0028,0.0057,0.0041,0.0041,0.0000,0.0042,0.0000,0.0084,0.0000,0.0000,0.0084,156.300003,157.139999,155.21000700000002,156.970001,151.207809,3426100.0
2017-01-04,BA,GB0002634946,1657.0,1011.0,0.1468,0.0082,0.0151,0.0024,0.0057,0.0170,0.0155,0.0072,0.0077,0.0060,0.0076,0.0207,0.0020,0.0034,0.0163,0.0096,0.0039,0.0028,0.0059,157.809998,159.229996,157.809998,158.619995,152.797226,3189800.0
2017-01-05,BA,GB0002634946,1088.0,560.0,0.0372,0.0037,0.0331,0.0018,0.0110,0.0239,0.0074,0.0092,0.0018,0.0037,0.0071,0.0250,0.0036,0.0071,0.0286,0.0071,0.0071,0.0036,0.0036,158.41000400000001,159.699997,157.399994,158.71000700000002,152.883942,2796000.0
2017-01-06,BA,GB0002634946,3156.0,2200.0,0.3411,0.0142,0.0234,0.0006,0.0154,0.0288,0.0090,0.0081,0.0014,0.0044,0.0166,0.0200,0.0009,0.0140,0.0315,0.0084,0.0081,0.0020,0.0054,158.979996,159.66000400000001,157.889999,159.100006,153.259628,2426000.0
2017-01-09,BA,GB0002634946,3534.0,2010.0,0.1275,0.0048,0.0276,0.0003,0.0074,0.012,0.0182,0.0025,0.0161,0.0059,0.0071,0.0315,0.0006,0.006,0.0132,0.0125,0.0026,0.0091,0.0054,159.0,159.240005,158.169998,158.320007,152.50824,2819400.0
2017-01-10,BA,GB0002634946,1643.0,1158.0,0.1043,0.0193,0.0262,0.0024,0.0055,0.0114,0.0120,0.0085,0.0035,0.0060,0.0214,0.0216,0.0035,0.0026,0.0120,0.0137,0.0113,0.0051,0.0077,158.96000700000002,159.940002,158.570007,159.070007,153.230698,2988300.0
2017-01-11,BA,GB0002634946,2957.0,1560.0,0.4499,0.0145,0.0220,0.0020,0.0129,0.0186,0.0105,0.0044,0.0051,0.0061,0.0180,0.0199,0.0039,0.0102,0.0224,0.0122,0.0045,0.0083,0.0064,159.53999299999998,159.699997,158.279999,159.399994,153.548599,2416500.0
2017-01-12,BA,GB0002634946,22.0,8.0,0.0746,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,159.149994,159.16000400000001,156.669998,158.28999299999998,152.479355,3020500.0
2017-01-13,BA,GB0002634946,765.0,655.0,0.1479,0.0131,0.0065,0.0000,0.0039,0.0091,0.0117,0.0079,0.0065,0.0091,0.0153,0.0077,0.0000,0.0015,0.0107,0.0107,0.0061,0.0061,0.0107,158.740005,159.580002,158.33999599999999,158.830002,152.999512,2435400.0
2017-01-17,BA,GB0002634946,4643.0,3008.0,0.3246,0.016,0.0281,0.001,0.0123,0.0183,0.0209,0.0127,0.0140,0.009,0.0183,0.0286,0.0003,0.0106,0.017,0.0196,0.0123,0.0116,0.0093,158.199997,159.03999299999998,157.229996,157.669998,151.882111,2756000.0
