Date,ticker,ISIN,totalwrds,partwrds,RVT,positivescore,negativescore,fearscore,findownscore,finupscore,finhypescore,finvolatilescore,certaintyscore,uncertaintyscore,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,finvolatilePartscr,certaintyPartscr,uncertaintyPartscr,Open,High,Low,Close,Adj Close,Volume
2017-01-03,BAC,US0605051046,4355.0,3339.0,0.3169,0.0218,0.0333,0.0007,0.017,0.0395,0.0192,0.0130,0.0087,0.0175,0.0252,0.0294,0.0009,0.0156,0.0378,0.0239,0.0143,0.0099,0.0201,22.6,22.68,22.200001,22.530001000000002,22.006726999999998,99298100.0
2017-01-04,BAC,US0605051046,4094.0,3077.0,0.2801,0.0227,0.0262,0.0007,0.0168,0.0320,0.0208,0.0054,0.0120,0.0161,0.0205,0.0260,0.0007,0.0111,0.0289,0.0156,0.0059,0.0091,0.0156,22.719998999999998,22.959999,22.6,22.950001,22.416971,76875100.0
2017-01-05,BAC,US0605051046,735.0,547.0,0.1074,0.0272,0.0259,0.0000,0.0190,0.0435,0.0218,0.0068,0.0136,0.0150,0.0238,0.0274,0.0000,0.0110,0.0402,0.0146,0.0073,0.0091,0.0146,22.82,22.93,22.35,22.68,22.15324,86826400.0
2017-01-06,BAC,US0605051046,889.0,707.0,0.0453,0.0169,0.0304,0.0000,0.0090,0.0124,0.0180,0.0000,0.0214,0.0124,0.0156,0.0339,0.0000,0.0071,0.0127,0.0170,0.0000,0.0212,0.0113,22.780001000000002,22.85,22.559998999999998,22.68,22.15324,66281500.0
2017-01-09,BAC,US0605051046,1716.0,1260.0,0.1184,0.0175,0.0157,0.0,0.0116,0.0274,0.0093,0.0264,0.0031,0.0087,0.0159,0.0182,0.0,0.0095,0.027,0.0111,0.0222,0.0063,0.0095,22.51,22.709999,22.4,22.549999,22.026258,75744700.0
2017-01-10,BAC,US0605051046,3544.0,2754.0,0.3266,0.0137,0.0054,0.0002,0.0118,0.0356,0.0190,0.0089,0.0084,0.0059,0.0099,0.0030,0.0003,0.0060,0.0410,0.0115,0.0090,0.0021,0.0033,22.59,23.139999,22.540001,22.940001000000002,22.407206,100977700.0
2017-01-11,BAC,US0605051046,3299.0,2670.0,0.1852,0.0240,0.0185,0.0024,0.0088,0.0248,0.0155,0.0052,0.0103,0.0136,0.0262,0.0183,0.0030,0.0105,0.0255,0.0146,0.0064,0.0120,0.0124,22.940001000000002,23.07,22.719998999999998,23.07,22.534184,92385600.0
2017-01-12,BAC,US0605051046,3153.0,2569.0,0.3995,0.0141,0.0220,0.0035,0.0135,0.0354,0.0161,0.0116,0.0080,0.0169,0.0153,0.0199,0.0035,0.0126,0.0331,0.0162,0.0134,0.0090,0.0154,23.01,23.120001000000002,22.610001,22.92,22.387667,120474200.0
2017-01-13,BAC,US0605051046,12732.0,9885.0,0.6509,0.0210,0.0189,0.0005,0.0204,0.0407,0.0088,0.0101,0.0041,0.0121,0.0187,0.0197,0.0005,0.0197,0.0385,0.0090,0.0098,0.0046,0.0133,23.209999,23.41,22.799999,23.01,22.475578,161930900.0
2017-01-17,BAC,US0605051046,5571.0,4499.0,0.2616,0.0195,0.0207,0.0004,0.0121,0.0272,0.0178,0.0018,0.0123,0.0152,0.0214,0.0199,0.0005,0.0099,0.0307,0.0141,0.0114,0.0067,0.0166,22.68,22.790001,22.01,22.049999,21.537872,152156200.0
2017-01-18,BAC,US0605051046,5125.0,4078.0,0.3153,0.0141,0.0376,0.0016,0.0203,0.0176,0.0156,0.0066,0.0150,0.0216,0.0125,0.0343,0.0017,0.0166,0.0154,0.0159,0.0056,0.0159,0.0235,22.299999,22.65,22.1,22.629998999999998,22.104403,124366000.0
2017-01-19,BAC,US0605051046,1062.0,776.0,0.0650,0.0321,0.0251,0.0019,0.0251,0.0476,0.0193,0.0270,0.0077,0.0058,0.0281,0.0211,0.0026,0.0132,0.0413,0.0132,0.0237,0.0079,0.0053,22.73,22.809998999999998,22.41,22.530001000000002,22.006726999999998,75990800.0
2017-01-20,BAC,US0605051046,59.0,50.0,0.0292,0.0000,0.0508,0.0000,0.0169,0.0000,0.0339,0.0169,0.0339,0.0000,0.0000,0.0600,0.0000,0.0200,0.0000,0.0400,0.0200,0.0400,0.0000,22.66,22.93,22.52,22.639999,22.11417,102564900.0
2017-01-23,BAC,US0605051046,2135.0,1624.0,0.0760,0.0131,0.0225,0.0009,0.0122,0.0193,0.0117,0.0039,0.0059,0.0155,0.0123,0.021,0.0013,0.0093,0.0123,0.0154,0.008,0.0105,0.0148,22.620001000000002,22.76,22.42,22.559998999999998,22.036027999999998,61385600.0
2017-01-24,BAC,US0605051046,20.0,20.0,0.0558,0.0500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,22.610001,23.1,22.48,22.950001,22.416971,98508700.0
2017-01-25,BAC,US0605051046,1423.0,1064.0,0.1574,0.0119,0.0155,0.0007,0.0042,0.0077,0.0183,0.0021,0.0134,0.0190,0.0141,0.0141,0.0009,0.0037,0.0075,0.0198,0.0028,0.0131,0.0197,23.32,23.42,23.1,23.370001000000002,22.827215,99753300.0
