Date,ticker,ISIN,totalwrds,partwrds,RVT,positivescore,negativescore,fearscore,findownscore,finupscore,finhypescore,finvolatilescore,certaintyscore,uncertaintyscore,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,finvolatilePartscr,certaintyPartscr,uncertaintyPartscr,Open,High,Low,Close,Adj Close,Volume
2017-01-03,DIS,US2546871060,1174.0,965.0,0.2779,0.0225,0.0160,0.0025,0.0121,0.0241,0.0066,0.0091,0.0012,0.0096,0.0226,0.0173,0.0031,0.0116,0.0264,0.0065,0.0100,0.0014,0.0092,105.300003,106.900002,105.209999,106.08000200000001,104.45639,8884300.0
2017-01-04,DIS,US2546871060,456.0,308.0,0.0568,0.0022,0.0702,0.0000,0.0022,0.0000,0.0066,0.0044,0.0000,0.0022,0.0032,0.0649,0.0000,0.0000,0.0000,0.0032,0.0032,0.0000,0.0032,106.639999,107.5,106.25,107.440002,105.79557,8322000.0
2017-01-05,DIS,US2546871060,1090.0,1018.0,0.0403,0.0129,0.0009,0.0000,0.0000,0.0037,0.0138,0.0000,0.0073,0.0009,0.0128,0.0009,0.0000,0.0000,0.0039,0.0137,0.0000,0.0078,0.0009,107.16999799999999,107.620003,106.790001,107.379997,105.736488,6303000.0
2017-01-06,DIS,US2546871060,2991.0,1923.0,0.3666,0.0126,0.0124,0.0009,0.0073,0.0107,0.0092,0.0150,0.0031,0.0092,0.0109,0.0128,0.0015,0.0093,0.0104,0.0093,0.0123,0.0028,0.0103,108.019997,109.349998,107.75,108.980003,107.312004,9551300.0
2017-01-09,DIS,US2546871060,1955.0,1772.0,0.2291,0.0164,0.0073,0.0,0.0042,0.0081,0.0050,0.0044,0.0015,0.0107,0.0175,0.008,0.0,0.0046,0.0089,0.0074,0.0063,0.004,0.0089,108.58000200000001,108.83000200000001,108.110001,108.360001,106.70149199999999,6193400.0
2017-01-10,DIS,US2546871060,391.0,334.0,0.1251,0.0205,0.0153,0.0000,0.0153,0.0204,0.0051,0.0077,0.0051,0.0128,0.0239,0.0180,0.0000,0.0150,0.0209,0.0060,0.0090,0.0060,0.0149,107.900002,108.82,107.349998,108.379997,106.72118400000001,7901900.0
2017-01-12,DIS,US2546871060,349.0,283.0,0.2208,0.0344,0.0401,0.0000,0.0373,0.0458,0.0057,0.0115,0.0029,0.0172,0.0353,0.0424,0.0000,0.0389,0.0530,0.0070,0.0141,0.0035,0.0177,108.120003,109.0,107.43,107.529999,105.884193,8218900.0
2017-01-13,DIS,US2546871060,1035.0,872.0,0.0854,0.0078,0.0415,0.0000,0.0125,0.0068,0.0183,0.0029,0.0145,0.0145,0.0092,0.0436,0.0000,0.0126,0.0080,0.0206,0.0035,0.0149,0.0149,107.160004,108.349998,106.900002,108.059998,106.40608200000001,6489000.0
2017-01-17,DIS,US2546871060,139.0,88.0,0.1420,0.0288,0.0072,0.0072,0.0000,0.0072,0.0215,0.0072,0.0000,0.0144,0.0455,0.0114,0.0114,0.0000,0.0000,0.0341,0.0114,0.0000,0.0227,107.910004,108.93,107.650002,107.970001,106.31745900000001,7583100.0
2017-01-18,DIS,US2546871060,573.0,443.0,0.2088,0.0035,0.0105,0.0000,0.0175,0.0087,0.0227,0.0035,0.0140,0.0000,0.0045,0.0113,0.0000,0.0158,0.0068,0.0271,0.0045,0.0158,0.0000,106.93,108.400002,106.809998,108.160004,106.50455500000001,7162900.0
2017-01-20,DIS,US2546871060,301.0,280.0,0.1930,0.0033,0.0033,0.0000,0.0000,0.0000,0.0000,0.0033,0.0066,0.0000,0.0036,0.0036,0.0000,0.0000,0.0000,0.0000,0.0036,0.0071,0.0000,107.349998,107.82,107.18,107.660004,106.012207,5649000.0
2017-01-23,DIS,US2546871060,2944.0,2385.0,0.2029,0.0102,0.0268,0.0014,0.0116,0.0119,0.0111,0.0068,0.0019,0.0065,0.0097,0.0269,0.0013,0.0101,0.0121,0.0122,0.0093,0.0063,0.0063,107.339996,107.68,106.57,107.120003,105.480476,5716600.0
2017-01-24,DIS,US2546871060,1484.0,1264.0,0.1683,0.0209,0.0094,0.0014,0.0047,0.0088,0.0121,0.0047,0.0094,0.0027,0.0222,0.0111,0.0008,0.0048,0.0079,0.0087,0.0055,0.0071,0.0016,107.199997,108.059998,107.08000200000001,107.900002,106.248535,5456100.0
2017-01-25,DIS,US2546871060,219.0,132.0,0.1703,0.0366,0.0046,0.0000,0.0046,0.0183,0.0228,0.0091,0.0137,0.0046,0.0303,0.0076,0.0000,0.0000,0.0076,0.0227,0.0000,0.0152,0.0076,108.230003,108.41999799999999,108.0,108.040001,106.38639099999999,6180200.0
2017-02-02,DIS,US2546871060,4820.0,3693.0,0.0499,0.0135,0.0147,0.0008,0.0075,0.027,0.0077,0.0039,0.0019,0.0081,0.0119,0.0149,0.0011,0.0068,0.0265,0.0146,0.0062,0.0065,0.0076,111.209999,111.540001,110.550003,110.610001,108.91705300000001,6515900.0
2017-02-03,DIS,US2546871060,335.0,272.0,0.0743,0.0269,0.0119,0.0000,0.0030,0.0149,0.0030,0.0030,0.0000,0.0000,0.0331,0.0074,0.0000,0.0037,0.0110,0.0037,0.0037,0.0000,0.0000,110.900002,111.150002,110.209999,110.300003,108.611801,7923400.0
2017-02-06,DIS,US2546871060,1798.0,1450.0,0.3041,0.0139,0.0156,0.0011,0.0023,0.0222,0.0192,0.0092,0.0020,0.0111,0.0159,0.0146,0.0014,0.0027,0.0275,0.0131,0.0104,0.0021,0.0111,109.91999799999999,110.150002,109.300003,109.57,107.892975,6896300.0
2017-02-07,DIS,US2546871060,4213.0,4982.0,0.3097,0.0162,0.0213,0.0006,0.0248,0.0289,0.0130,0.0045,0.0085,0.0121,0.0154,0.0165,0.0003,0.0170,0.0262,0.0099,0.0037,0.0067,0.0115,109.650002,109.730003,108.769997,109.0,107.331696,10184800.0
2017-02-08,DIS,US2546871060,536.0,456.0,0.2725,0.0261,0.0261,0.0000,0.0242,0.0187,0.0168,0.0019,0.0075,0.0112,0.0285,0.0263,0.0000,0.0175,0.0197,0.0175,0.0022,0.0088,0.0132,109.559998,111.41999799999999,108.980003,109.0,107.331696,13615500.0
2017-02-09,DIS,US2546871060,912.0,834.0,0.2309,0.0252,0.0274,0.0000,0.0198,0.0187,0.0285,0.0033,0.0110,0.0143,0.0264,0.0288,0.0000,0.0144,0.0192,0.0276,0.0012,0.0120,0.0156,109.0,109.849998,109.0,109.489998,107.814194,6369700.0
2017-02-10,DIS,US2546871060,3236.0,3020.0,0.1271,0.0127,0.0074,0.0009,0.0019,0.0068,0.0207,0.0022,0.0146,0.0148,0.0126,0.0079,0.0010,0.0017,0.0067,0.0222,0.0020,0.0156,0.0159,109.349998,109.800003,108.58000200000001,109.260002,107.587723,7671800.0
2017-02-14,DIS,US2546871060,4533.0,3765.0,0.3154,0.0147,0.0265,0.0013,0.0042,0.0135,0.0085,0.0031,0.0037,0.009,0.0157,0.0289,0.0016,0.0045,0.0141,0.0101,0.0035,0.0048,0.0093,109.800003,110.33000200000001,109.529999,110.33000200000001,108.641342,4764100.0
2017-02-15,DIS,US2546871060,1830.0,1655.0,0.2009,0.0065,0.0292,0.0007,0.0007,0.0103,0.0176,0.0057,0.0067,0.0129,0.0072,0.0289,0.0008,0.0008,0.0103,0.0166,0.0035,0.0075,0.0119,109.910004,110.68,109.800003,110.18,108.493629,7087100.0
2017-02-16,DIS,US2546871060,647.0,562.0,0.0563,0.0201,0.0185,0.0000,0.0015,0.0046,0.0216,0.0031,0.0108,0.0031,0.0231,0.0178,0.0000,0.0018,0.0036,0.0160,0.0036,0.0089,0.0036,110.339996,110.870003,110.089996,110.709999,109.015518,7179600.0
2017-02-17,DIS,US2546871060,276.0,199.0,0.2287,0.0036,0.0399,0.0000,0.0072,0.0072,0.0181,0.0036,0.0109,0.0072,0.0000,0.0553,0.0000,0.0101,0.0101,0.0000,0.0050,0.0050,0.0000,110.239998,110.5,109.519997,110.059998,108.375473,6349200.0
2017-02-21,DIS,US2546871060,562.0,458.0,0.1700,0.0040,0.0553,0.0040,0.0199,0.0124,0.0036,0.0067,0.0036,0.0013,0.0050,0.0545,0.0050,0.0151,0.0156,0.0022,0.0082,0.0022,0.0017,109.940002,110.209999,109.800003,110.010002,108.326241,5432700.0
2017-02-22,DIS,US2546871060,791.0,646.0,0.0853,0.0180,0.0025,0.0000,0.0013,0.0026,0.0142,0.0070,0.0084,0.0116,0.0157,0.0016,0.0000,0.0000,0.0031,0.0094,0.0071,0.0086,0.0110,109.690002,110.279999,109.529999,110.120003,108.434555,5478400.0
2017-02-23,DIS,US2546871060,975.0,814.0,0.2493,0.0144,0.0092,0.0000,0.0031,0.0144,0.0113,0.0072,0.0061,0.0051,0.0172,0.0110,0.0000,0.0037,0.0135,0.0123,0.0086,0.0061,0.0061,110.300003,110.489998,109.589996,109.730003,108.050529,5470400.0
2017-02-24,DIS,US2546871060,505.0,429.0,0.1811,0.0204,0.0113,0.0000,0.0045,0.0170,0.0145,0.0090,0.0065,0.0065,0.0232,0.0128,0.0000,0.0052,0.0193,0.0165,0.0103,0.0075,0.0075,109.620003,110.32,109.099998,110.32,108.63149299999999,4786800.0
2017-02-27,DIS,US2546871060,1483.0,1139.0,0.2941,0.0081,0.0168,0.0014,0.004,0.0047,0.0182,0.0048,0.0095,0.0121,0.0088,0.0149,0.0,0.0026,0.0062,0.0245,0.007,0.0088,0.0158,109.93,110.470001,109.83000200000001,110.230003,108.542877,3547700.0
2017-02-28,DIS,US2546871060,281.0,171.0,0.0952,0.0463,0.0142,0.0000,0.0107,0.0142,0.0285,0.0036,0.0000,0.0071,0.0526,0.0234,0.0000,0.0175,0.0175,0.0351,0.0058,0.0000,0.0117,110.0,110.400002,109.83000200000001,110.089996,108.405014,4766000.0
2017-03-01,DIS,US2546871060,3088.0,3021.0,0.2166,0.0178,0.0155,0.0000,0.0032,0.0123,0.0184,0.0026,0.0132,0.0185,0.0176,0.0146,0.0000,0.0033,0.0123,0.0193,0.0027,0.0137,0.0182,110.660004,111.800003,110.660004,111.040001,109.340477,7418100.0
2017-03-02,DIS,US2546871060,1380.0,1220.0,0.1346,0.0109,0.0196,0.0000,0.0029,0.0044,0.0145,0.0015,0.0123,0.0080,0.0107,0.0197,0.0000,0.0025,0.0049,0.0148,0.0017,0.0123,0.0082,111.0,111.209999,110.449997,110.589996,108.89736200000002,4715600.0
2017-03-03,DIS,US2546871060,212.0,184.0,0.1123,0.0000,0.0000,0.0000,0.0047,0.0000,0.0189,0.0000,0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0109,0.0000,0.0000,0.0000,110.589996,111.5,110.040001,111.239998,109.537407,5837900.0
