Date,ticker,ISIN,totalwrds,partwrds,RVT,positivescore,negativescore,fearscore,findownscore,finupscore,finhypescore,finvolatilescore,certaintyscore,uncertaintyscore,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,finvolatilePartscr,certaintyPartscr,uncertaintyPartscr,Open,High,Low,Close,Adj Close,Volume
2017-01-03,FB,US30303M1027,5526.0,833.0,0.2431,0.0188,0.02,0.0034,0.0083,0.0256,0.0222,0.0131,0.0173,0.0194,0.0069,0.0098,0.0,0.0,0.0057,0.0159,0.0,0.0091,0.0105,116.029999,117.839996,115.510002,116.860001,116.860001,20663900.0
2017-01-04,FB,US30303M1027,1254.0,212.0,0.0675,0.0208,0.0247,0.0032,0.0087,0.0279,0.0200,0.0143,0.0151,0.0176,0.0141,0.0330,0.0000,0.0000,0.0189,0.0141,0.0000,0.0094,0.0000,117.550003,119.660004,117.290001,118.690002,118.690002,19630900.0
2017-01-05,FB,US30303M1027,277.0,126.0,0.0745,0.0036,0.0000,0.0000,0.0036,0.0036,0.0108,0.0036,0.0108,0.0108,0.0079,0.0000,0.0000,0.0000,0.0079,0.0079,0.0000,0.0079,0.0238,118.860001,120.949997,118.32,120.66999799999999,120.66999799999999,19492200.0
2017-01-06,FB,US30303M1027,2898.0,790.0,0.1554,0.0126,0.0461,0.0024,0.0015,0.0074,0.0260,0.0081,0.0108,0.0119,0.0026,0.0455,0.0037,0.0000,0.0062,0.0198,0.0138,0.0114,0.0084,120.980003,123.879997,120.029999,123.410004,123.410004,28545300.0
2017-01-09,FB,US30303M1027,5469.0,1689.0,0.3352,0.0063,0.0269,0.0003,0.0048,0.0073,0.0106,0.0037,0.0061,0.011,0.0036,0.0218,0.0,0.0077,0.0053,0.0219,0.0089,0.0112,0.0083,123.550003,125.43,123.040001,124.900002,124.900002,22861600.0
2017-01-10,FB,US30303M1027,2014.0,536.0,0.4276,0.0104,0.0184,0.0000,0.0040,0.0065,0.0129,0.0080,0.0099,0.0065,0.0000,0.0037,0.0000,0.0112,0.0000,0.0000,0.0223,0.0000,0.0093,124.82,125.5,124.279999,124.349998,124.349998,17324600.0
2017-01-11,FB,US30303M1027,3032.0,1718.0,0.1948,0.0145,0.0168,0.0013,0.0072,0.0074,0.0200,0.0098,0.0146,0.0016,0.0116,0.0193,0.0023,0.0110,0.0035,0.0233,0.0125,0.0163,0.0018,124.349998,126.120003,124.059998,126.089996,126.089996,18356500.0
2017-01-12,FB,US30303M1027,2459.0,1235.0,0.3077,0.0051,0.0523,0.0023,0.0046,0.0048,0.0159,0.0081,0.0058,0.0085,0.0070,0.0439,0.0014,0.0076,0.0047,0.0156,0.0097,0.0101,0.0008,125.610001,126.730003,124.800003,126.620003,126.620003,18653900.0
2017-01-13,FB,US30303M1027,1289.0,553.0,0.2335,0.0027,0.0534,0.0016,0.0028,0.0051,0.0105,0.0053,0.0032,0.0082,0.0018,0.0335,0.0000,0.0047,0.0044,0.0008,0.0054,0.0000,0.0000,127.489998,129.270004,127.370003,128.33999599999999,128.33999599999999,24884300.0
2017-01-17,FB,US30303M1027,900.0,210.0,0.0572,0.0,0.0033,0.0,0.0,0.0023,0.0000,0.0000,0.0115,0.0011,0.0,0.0143,0.0,0.0,0.0,0.0,0.0,0.0048,0.0,128.03999299999998,128.33999599999999,127.400002,127.870003,127.870003,15228000.0
