Date,ticker,ISIN,totalwrds,partwrds,RVT,positivescore,negativescore,fearscore,findownscore,finupscore,finhypescore,finvolatilescore,certaintyscore,uncertaintyscore,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,finvolatilePartscr,certaintyPartscr,uncertaintyPartscr,Open,High,Low,Close,Adj Close,Volume
2017-01-03,GM,US37045V1008,5169.0,1415.0,0.4372,0.0128,0.0250,0.0017,0.0135,0.0108,0.0176,0.0146,0.0103,0.0066,0.0060,0.0241,0.0012,0.0152,0.0046,0.0098,0.0072,0.0077,0.0037,34.98,35.57,34.84,35.150002,33.074829,10904900.0
2017-01-04,GM,US37045V1008,6728.0,1877.0,0.6379,0.0219,0.0208,0.0008,0.0123,0.0272,0.0205,0.0088,0.0077,0.0094,0.0241,0.0187,0.0013,0.0067,0.0281,0.0195,0.0059,0.0046,0.0150,35.599998,37.240002000000004,35.470001,37.09,34.900295,23388500.0
2017-01-05,GM,US37045V1008,4351.0,1549.0,0.4384,0.0167,0.0195,0.0002,0.0121,0.0223,0.0210,0.0072,0.0126,0.0047,0.0085,0.0252,0.0000,0.0142,0.0128,0.0176,0.0045,0.0052,0.0019,37.009997999999996,37.049999,36.07,36.389998999999996,34.241623,15636700.0
2017-01-06,GM,US37045V1008,620.0,118.0,0.1171,0.0100,0.0231,0.0000,0.0053,0.0169,0.0172,0.0111,0.0080,0.0074,0.0058,0.0273,0.0000,0.0029,0.0198,0.0143,0.0000,0.0058,0.0029,36.41,36.549999,35.93,35.990002000000004,33.865238,13240100.0
2017-01-09,GM,US37045V1008,10123.0,2961.0,0.5705,0.0114,0.0249,0.0015,0.0104,0.0188,0.0114,0.0106,0.0093,0.0066,0.008,0.021,0.0003,0.0054,0.0142,0.0078,0.0132,0.0047,0.0037,36.119999,36.529999,35.860001000000004,36.009997999999996,33.884052000000004,15201300.0
2017-01-10,GM,US37045V1008,7429.0,2078.0,0.4131,0.0185,0.0247,0.0011,0.0096,0.0211,0.0159,0.0077,0.0110,0.0107,0.0217,0.0222,0.0004,0.0084,0.0208,0.0100,0.0074,0.0065,0.0167,36.189999,38.16,36.049999,37.349998,35.144939,34804500.0
2017-01-11,GM,US37045V1008,2361.0,1330.0,0.4897,0.0135,0.0168,0.0016,0.0049,0.0175,0.0101,0.0086,0.0070,0.0087,0.0158,0.0166,0.0000,0.0045,0.0177,0.0030,0.0045,0.0023,0.0083,37.540001000000004,38.110001000000004,37.220001,37.950001,35.709522,19553900.0
2017-01-12,GM,US37045V1008,1639.0,576.0,0.2998,0.0128,0.0244,0.0036,0.0091,0.0287,0.0085,0.0128,0.0055,0.0091,0.0156,0.0243,0.0000,0.0104,0.0295,0.0017,0.0052,0.0017,0.0121,38.0,38.150002,37.060001,37.509997999999996,35.295494,16830200.0
2017-01-13,GM,US37045V1008,404.0,87.0,0.0844,0.0124,0.0322,0.0000,0.0248,0.0396,0.0173,0.0124,0.0173,0.0050,0.0000,0.0805,0.0000,0.0000,0.0345,0.0000,0.0000,0.0115,0.0000,37.549999,37.77,37.150002,37.34,35.135532,8748800.0
2017-01-17,GM,US37045V1008,3815.0,1802.0,0.4017,0.008,0.0215,0.0005,0.0079,0.0073,0.0199,0.0099,0.0141,0.0107,0.0068,0.0295,0.0,0.0098,0.0122,0.0219,0.0076,0.0145,0.0098,37.34,37.689999,37.169998,37.310001,35.107307,8219700.0
2017-01-18,GM,US37045V1008,2225.0,882.0,0.1443,0.0081,0.0593,0.0018,0.0135,0.0036,0.0072,0.0054,0.0049,0.0143,0.0113,0.0998,0.0000,0.0216,0.0000,0.0034,0.0011,0.0011,0.0261,37.450001,37.580002,37.119999,37.470001,35.257862,11220100.0
2017-01-19,GM,US37045V1008,466.0,319.0,0.1331,0.0236,0.0580,0.0021,0.0236,0.0258,0.0129,0.0065,0.0000,0.0258,0.0188,0.0690,0.0000,0.0282,0.0188,0.0125,0.0000,0.0000,0.0251,37.630001,37.84,37.16,37.299999,35.097896999999996,8262700.0
2017-01-20,GM,US37045V1008,671.0,66.0,0.1634,0.0074,0.0223,0.0044,0.0075,0.0179,0.0000,0.0044,0.0000,0.0000,0.0000,0.0152,0.0000,0.0000,0.0303,0.0000,0.0000,0.0000,0.0000,37.419998,37.419998,36.759997999999996,37.009997999999996,34.825016,14001500.0
2017-01-23,GM,US37045V1008,2327.0,394.0,0.1209,0.013,0.0168,0.0009,0.006,0.0302,0.0088,0.0103,0.0051,0.006,0.0078,0.0152,0.0,0.0078,0.0211,0.0177,0.0078,0.0127,0.0102,37.009997999999996,37.130001,36.380001,36.650002,34.486271,11624500.0
2017-01-24,GM,US37045V1008,4827.0,1245.0,0.3621,0.0101,0.0203,0.0004,0.0050,0.0140,0.0053,0.0156,0.0031,0.0038,0.0032,0.0177,0.0000,0.0041,0.0025,0.0123,0.0176,0.0025,0.0042,36.700001,37.240002000000004,36.68,37.0,34.815605,11600300.0
2017-01-25,GM,US37045V1008,2279.0,610.0,0.1528,0.0094,0.0277,0.0017,0.0053,0.0212,0.0086,0.0109,0.0024,0.0076,0.0131,0.0233,0.0000,0.0066,0.0279,0.0076,0.0087,0.0000,0.0066,37.709998999999996,38.380001,37.599998,38.279999,36.020039000000004,20745200.0
2017-01-27,GM,US37045V1008,2527.0,719.0,0.4387,0.0115,0.0499,0.0000,0.0095,0.0198,0.0103,0.0103,0.0040,0.0087,0.0153,0.0042,0.0000,0.0042,0.0111,0.0042,0.0278,0.0014,0.0042,37.52,37.59,36.880001,37.009997999999996,34.825016,10228600.0
