Date,ticker,ISIN,totalwrds,partwrds,RVT,positivescore,negativescore,fearscore,findownscore,finupscore,finhypescore,finvolatilescore,certaintyscore,uncertaintyscore,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,finvolatilePartscr,certaintyPartscr,uncertaintyPartscr,Open,High,Low,Close,Adj Close,Volume
2017-01-03,GOOGL,US38259P5089,2521.0,479.0,0.2182,0.0182,0.0087,0.0012,0.0036,0.0111,0.0131,0.0038,0.0093,0.0111,0.0125,0.0,0.0,0.0,0.0083,0.0042,0.0,0.0,0.0084,800.619995,811.4400019999999,796.8900150000001,808.01001,808.01001,1959000.0
2017-01-04,GOOGL,US38259P5089,2973.0,1330.0,0.4319,0.0126,0.0127,0.0000,0.0009,0.0090,0.0132,0.0031,0.0092,0.0030,0.0133,0.0202,0.0000,0.0008,0.0102,0.0126,0.0006,0.0053,0.0044,809.8900150000001,813.429993,804.1099849999999,807.77002,807.77002,1515300.0
2017-01-05,GOOGL,US38259P5089,2649.0,803.0,0.3769,0.0106,0.0180,0.0000,0.0036,0.0117,0.0133,0.0067,0.0095,0.0063,0.0111,0.0165,0.0000,0.0036,0.0120,0.0127,0.0035,0.0057,0.0059,807.5,813.73999,805.919983,813.02002,813.02002,1340500.0
2017-01-06,GOOGL,US38259P5089,1029.0,210.0,0.1753,0.0185,0.0618,0.0010,0.0040,0.0053,0.0260,0.0081,0.0114,0.0128,0.0095,0.0313,0.0000,0.0045,0.0045,0.0185,0.0153,0.0105,0.0093,814.98999,828.960022,811.5,825.210022,825.210022,2017100.0
2017-01-09,GOOGL,US38259P5089,17849.0,3133.0,0.5376,0.0195,0.0207,0.0009,0.0099,0.0213,0.0146,0.0151,0.0041,0.0117,0.0256,0.0152,0.0,0.0091,0.0113,0.0099,0.0144,0.002,0.009,826.369995,830.429993,821.619995,827.179993,827.179993,1406800.0
2017-01-10,GOOGL,US38259P5089,3306.0,749.0,0.3760,0.0123,0.0209,0.0012,0.0042,0.0073,0.0218,0.0083,0.0112,0.0093,0.0098,0.0089,0.0000,0.0065,0.0032,0.0192,0.0157,0.0056,0.0131,827.070007,829.409973,823.1400150000001,826.01001,826.01001,1197400.0
2017-01-11,GOOGL,US38259P5089,1478.0,591.0,0.1555,0.0147,0.0090,0.0008,0.0038,0.0063,0.0238,0.0066,0.0104,0.0114,0.0114,0.0037,0.0000,0.0037,0.0049,0.0188,0.0098,0.0015,0.0097,826.619995,829.900024,821.469971,829.8599849999999,829.8599849999999,1325400.0
2017-01-12,GOOGL,US38259P5089,729.0,268.0,0.1292,0.0094,0.0153,0.0000,0.0065,0.0202,0.0109,0.0164,0.0025,0.0086,0.0000,0.0149,0.0000,0.0000,0.0075,0.0075,0.0149,0.0000,0.0000,828.380005,830.380005,821.01001,829.530029,829.530029,1349500.0
2017-01-13,GOOGL,US38259P5089,866.0,528.0,0.2338,0.0023,0.0059,0.0000,0.0016,0.0064,0.0037,0.0040,0.0023,0.0041,0.0000,0.0026,0.0000,0.0000,0.0045,0.0019,0.0039,0.0000,0.0038,831.0,834.650024,829.52002,830.9400019999999,830.9400019999999,1290200.0
2017-01-17,GOOGL,US38259P5089,6345.0,1611.0,0.4148,0.0113,0.0118,0.0,0.0076,0.0112,0.0096,0.0067,0.0054,0.0104,0.0078,0.001,0.0,0.003,0.0126,0.0061,0.0,0.0029,0.0061,830.0,830.179993,823.200012,827.460022,827.460022,1439700.0
2017-01-18,GOOGL,US38259P5089,3070.0,1369.0,0.3957,0.0124,0.0127,0.0000,0.0084,0.0095,0.0088,0.0078,0.0052,0.0039,0.0110,0.0044,0.0000,0.0132,0.0080,0.0066,0.0066,0.0015,0.0000,829.799988,829.8099980000001,824.080017,829.02002,829.02002,1027700.0
2017-01-19,GOOGL,US38259P5089,2493.0,1621.0,0.3406,0.0097,0.0147,0.0012,0.0100,0.0115,0.0218,0.0052,0.0041,0.0096,0.0099,0.0149,0.0018,0.0117,0.0122,0.0252,0.0053,0.0026,0.0129,829.0,833.0,823.960022,824.369995,824.369995,1070500.0
2017-01-20,GOOGL,US38259P5089,4129.0,1654.0,0.4121,0.0123,0.0166,0.0007,0.0131,0.0148,0.0210,0.0087,0.0065,0.0117,0.0132,0.0152,0.0012,0.0115,0.0121,0.0268,0.0051,0.0040,0.0137,829.090027,829.23999,824.599976,828.169983,828.169983,1306200.0
2017-01-23,GOOGL,US38259P5089,3662.0,1452.0,0.4189,0.0106,0.0167,0.0003,0.0061,0.0182,0.0092,0.0083,0.0051,0.0064,0.0085,0.0045,0.0,0.0032,0.0109,0.0057,0.0035,0.0028,0.0021,831.6099849999999,845.5399779999999,828.700012,844.429993,844.429993,2457400.0
2017-01-24,GOOGL,US38259P5089,2891.0,1362.0,0.3287,0.0128,0.0291,0.0017,0.0021,0.0049,0.0076,0.0045,0.0028,0.0031,0.0140,0.0294,0.0022,0.0000,0.0044,0.0081,0.0052,0.0022,0.0037,846.9799800000001,851.5200199999999,842.2800289999999,849.5300289999999,849.5300289999999,1688400.0
2017-01-25,GOOGL,US38259P5089,1468.0,1057.0,0.0930,0.0218,0.0443,0.0027,0.0007,0.0082,0.0082,0.0055,0.0041,0.0041,0.0274,0.0397,0.0038,0.0009,0.0094,0.0095,0.0047,0.0038,0.0057,853.5499880000001,858.7899779999999,849.73999,858.4500119999999,858.4500119999999,1655400.0
2017-01-27,GOOGL,US38259P5089,5249.0,1693.0,0.4693,0.0128,0.0392,0.0006,0.0124,0.0194,0.0154,0.0116,0.0080,0.0097,0.0112,0.0307,0.0000,0.0189,0.0148,0.0218,0.0136,0.0130,0.0106,859.0,867.0,841.900024,845.0300289999999,845.0300289999999,3752500.0
2017-01-30,GOOGL,US38259P5089,2326.0,972.0,0.1481,0.0129,0.027,0.0052,0.0099,0.0181,0.0000,0.0030,0.0000,0.0077,0.0123,0.035,0.0072,0.0134,0.0134,0.0134,0.0144,0.0083,0.0062,837.0599980000001,837.22998,821.030029,823.830017,823.830017,3516900.0
2017-02-01,GOOGL,US38259P5089,900.0,134.0,1.0000,0.0144,0.0378,0.0056,0.0044,0.0067,0.0067,0.0022,0.0022,0.0044,0.0000,0.0299,0.0000,0.0149,0.0149,0.0000,0.0000,0.0000,0.0000,824.0,824.0,812.25,815.23999,815.23999,2251000.0
2017-02-02,GOOGL,US38259P5089,572.0,152.0,0.2840,0.0135,0.0164,0.0008,0.0055,0.0145,0.0151,0.0029,0.0064,0.0068,0.0102,0.0269,0.0000,0.0018,0.0150,0.0102,0.0066,0.0000,0.0074,815.0,824.5599980000001,812.049988,818.26001,818.26001,1689200.0
2017-02-03,GOOGL,US38259P5089,2394.0,330.0,0.2584,0.0138,0.0125,0.0005,0.0063,0.0192,0.0222,0.0088,0.0054,0.0092,0.0455,0.0121,0.0000,0.0000,0.0212,0.0091,0.0152,0.0000,0.0031,823.130005,826.130005,819.349976,820.130005,820.130005,1528100.0
2017-02-06,GOOGL,US38259P5089,1698.0,386.0,0.2576,0.02,0.0262,0.0,0.0064,0.0135,0.0196,0.0071,0.0065,0.017,0.013,0.0146,0.0,0.0,0.0026,0.0309,0.0109,0.0052,0.018,820.919983,822.3900150000001,814.289978,821.619995,821.619995,1350900.0
2017-02-07,GOOGL,US38259P5089,944.0,331.0,0.2038,0.0087,0.0464,0.0074,0.0012,0.0068,0.0093,0.0043,0.0074,0.0043,0.0074,0.0223,0.0000,0.0000,0.0056,0.0149,0.0000,0.0074,0.0037,825.5,831.919983,823.289978,829.22998,829.22998,1666600.0
2017-02-08,GOOGL,US38259P5089,706.0,167.0,0.2725,0.0198,0.0113,0.0000,0.0043,0.0298,0.0298,0.0028,0.0057,0.0085,0.0240,0.0119,0.0000,0.0000,0.0239,0.0240,0.0000,0.0000,0.0060,830.530029,834.25,825.1099849999999,829.880005,829.880005,1302200.0
2017-02-10,GOOGL,US38259P5089,98.0,24.0,0.0060,0.0102,0.0000,0.0000,0.0000,0.0102,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,832.950012,837.150024,830.51001,834.849976,834.849976,1415100.0
2017-02-13,GOOGL,US38259P5089,1940.0,695.0,0.2599,0.0083,0.0026,0.0,0.001,0.0083,0.0031,0.0023,0.0015,0.0078,0.0072,0.0014,0.0,0.0,0.0029,0.0029,0.0014,0.0,0.0058,837.700012,841.73999,836.25,838.9600220000001,838.9600220000001,1295700.0
2017-02-14,GOOGL,US38259P5089,4588.0,1173.0,0.4596,0.0113,0.0189,0.0003,0.0021,0.0089,0.0154,0.0047,0.0081,0.0078,0.0131,0.0068,0.0000,0.0000,0.0051,0.0072,0.0000,0.0060,0.0080,839.7700199999999,842.0,835.830017,840.0300289999999,840.0300289999999,1296300.0
2017-02-15,GOOGL,US38259P5089,2656.0,490.0,0.3610,0.0097,0.0209,0.0009,0.0018,0.0124,0.0128,0.0059,0.0055,0.0075,0.0140,0.0108,0.0000,0.0008,0.0135,0.0129,0.0016,0.0033,0.0008,838.8099980000001,841.7700199999999,836.219971,837.320007,837.320007,1357200.0
2017-02-16,GOOGL,US38259P5089,1108.0,462.0,0.1954,0.0073,0.0208,0.0052,0.0071,0.0044,0.0093,0.0035,0.0009,0.0038,0.0042,0.0135,0.0000,0.0086,0.0063,0.0127,0.0043,0.0022,0.0092,838.5,842.6900019999999,837.26001,842.169983,842.169983,1005100.0
2017-02-17,GOOGL,US38259P5089,246.0,211.0,0.2287,0.0081,0.0244,0.0041,0.0203,0.0041,0.0041,0.0244,0.0000,0.0000,0.0047,0.0284,0.0047,0.0237,0.0047,0.0000,0.0284,0.0000,0.0000,841.3099980000001,846.9400019999999,839.7800289999999,846.5499880000001,846.5499880000001,1461200.0
2017-02-21,GOOGL,US38259P5089,2977.0,903.0,0.3253,0.0155,0.0184,0.0013,0.0081,0.0185,0.0150,0.0108,0.0062,0.0094,0.0166,0.0133,0.0,0.0055,0.0133,0.0066,0.0121,0.0033,0.0044,847.98999,852.2000119999999,846.5499880000001,849.2700199999999,849.2700199999999,1260300.0
2017-02-22,GOOGL,US38259P5089,2895.0,1495.0,0.3930,0.0198,0.0230,0.0000,0.0063,0.0156,0.0202,0.0052,0.0062,0.0098,0.0130,0.0151,0.0000,0.0030,0.0151,0.0177,0.0018,0.0032,0.0087,848.0,853.7899779999999,846.7100220000001,851.3599849999999,851.3599849999999,1224400.0
2017-02-23,GOOGL,US38259P5089,4740.0,1559.0,0.5751,0.0216,0.0247,0.0010,0.0064,0.0155,0.0123,0.0032,0.0048,0.0091,0.0181,0.0267,0.0000,0.0038,0.0128,0.0152,0.0006,0.0043,0.0098,851.080017,852.6199949999999,842.5,851.0,851.0,1386700.0
2017-02-24,GOOGL,US38259P5089,3958.0,1557.0,0.2969,0.0134,0.0424,0.0004,0.0045,0.0062,0.0085,0.0024,0.0052,0.0037,0.0126,0.0248,0.0000,0.0011,0.0030,0.0067,0.0005,0.0038,0.0042,847.650024,848.3599849999999,842.9600220000001,847.8099980000001,847.8099980000001,1346200.0
2017-02-27,GOOGL,US38259P5089,4032.0,1355.0,0.5530,0.0118,0.0114,0.0009,0.0042,0.0097,0.0079,0.0038,0.0038,0.0047,0.0124,0.0107,0.0000,0.0051,0.0076,0.0035,0.0038,0.0014,0.0012,844.9500119999999,850.669983,843.01001,849.669983,849.669983,1010300.0
