Date,ticker,ISIN,totalwrds,partwrds,RVT,positivescore,negativescore,fearscore,findownscore,finupscore,finhypescore,finvolatilescore,certaintyscore,uncertaintyscore,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,finvolatilePartscr,certaintyPartscr,uncertaintyPartscr,Open,High,Low,Close,Adj Close,Volume
2017-01-03,JPM,US46625H1005,4978.0,2160.0,0.5200,0.0233,0.0269,0.001,0.0151,0.0436,0.0127,0.0119,0.0065,0.0119,0.0235,0.026,0.0041,0.0051,0.0338,0.0132,0.0064,0.0072,0.0046,87.339996,87.760002,85.980003,87.230003,83.930573,20550700.0
2017-01-04,JPM,US46625H1005,1880.0,1586.0,0.4177,0.0095,0.0438,0.0001,0.0287,0.0220,0.0169,0.0120,0.0030,0.0106,0.0101,0.0205,0.0006,0.0083,0.0128,0.0095,0.0074,0.0071,0.0070,86.959999,87.18,86.400002,86.910004,84.085373,15266600.0
2017-01-05,JPM,US46625H1005,3077.0,1653.0,0.3655,0.0089,0.0267,0.0017,0.0098,0.0120,0.0132,0.0084,0.0055,0.0099,0.0104,0.0163,0.0001,0.0040,0.0063,0.0071,0.0034,0.0006,0.0055,86.809998,87.110001,85.260002,86.110001,83.311378,14300800.0
2017-01-06,JPM,US46625H1005,825.0,639.0,0.1863,0.0040,0.0274,0.0042,0.0044,0.0132,0.0052,0.0037,0.0010,0.0074,0.0000,0.0182,0.0000,0.0046,0.0031,0.0105,0.0000,0.0000,0.0089,86.389999,86.620003,85.940002,86.120003,83.321037,12893300.0
2017-01-09,JPM,US46625H1005,5139.0,1264.0,0.2686,0.0116,0.0295,0.0018,0.0091,0.0148,0.0138,0.0090,0.0092,0.0139,0.0063,0.0436,0.0,0.009,0.018,0.0055,0.0159,0.0016,0.0183,85.730003,86.769997,85.519997,86.18,83.37908900000001,12735600.0
2017-01-10,JPM,US46625H1005,439.0,320.0,0.2166,0.0105,0.0238,0.0030,0.0089,0.0179,0.0076,0.0041,0.0033,0.0105,0.0000,0.0158,0.0040,0.0064,0.0017,0.0084,0.0045,0.0000,0.0100,86.07,86.900002,85.720001,86.43,83.620979,13989000.0
2017-01-11,JPM,US46625H1005,5435.0,1103.0,0.4331,0.0348,0.0169,0.0015,0.0076,0.0272,0.0168,0.0055,0.0130,0.0059,0.0254,0.0245,0.0000,0.0045,0.0336,0.0118,0.0018,0.0127,0.0036,86.43,87.08000200000001,85.910004,87.08000200000001,84.249847,14713100.0
2017-01-12,JPM,US46625H1005,2597.0,506.0,0.2145,0.0259,0.0187,0.0022,0.0134,0.0466,0.0153,0.0158,0.0069,0.0115,0.0209,0.0194,0.0000,0.0121,0.0500,0.0171,0.0025,0.0134,0.0074,86.760002,87.269997,86.019997,86.239998,83.437141,21337400.0
2017-01-13,JPM,US46625H1005,10726.0,3454.0,0.6721,0.0186,0.0240,0.0009,0.0151,0.0358,0.0128,0.0106,0.0073,0.0118,0.0178,0.0079,0.0000,0.0048,0.0320,0.0124,0.0074,0.0067,0.0055,87.110001,88.16999799999999,86.099998,86.699997,83.882187,28296000.0
2017-01-17,JPM,US46625H1005,3436.0,1105.0,0.5213,0.0288,0.0326,0.0008,0.021,0.0422,0.0132,0.0155,0.0055,0.0172,0.0317,0.0289,0.0018,0.0217,0.0479,0.0045,0.0244,0.0018,0.0163,84.93,85.220001,83.279999,83.550003,80.834572,29969400.0
2017-01-18,JPM,US46625H1005,7047.0,2709.0,0.6245,0.0134,0.0409,0.0007,0.0109,0.0203,0.0115,0.0112,0.0055,0.0072,0.0074,0.0384,0.0007,0.0070,0.0085,0.0085,0.0114,0.0059,0.0055,83.629997,84.230003,83.029999,83.940002,81.211906,21270100.0
2017-01-19,JPM,US46625H1005,8877.0,1922.0,0.4207,0.0185,0.0303,0.0013,0.0097,0.0196,0.0163,0.0114,0.0060,0.0125,0.0198,0.0315,0.0020,0.0121,0.0177,0.0114,0.0076,0.0052,0.0101,84.059998,84.66999799999999,83.120003,83.300003,80.59270500000001,16555600.0
2017-01-20,JPM,US46625H1005,1387.0,493.0,0.3288,0.0130,0.0173,0.0007,0.0094,0.0144,0.0086,0.0036,0.0050,0.0043,0.0041,0.0041,0.0000,0.0020,0.0101,0.0020,0.0000,0.0020,0.0020,83.43,83.83000200000001,83.290001,83.66999799999999,80.95066800000001,18436800.0
2017-01-23,JPM,US46625H1005,5817.0,2128.0,0.3838,0.0132,0.0122,0.001,0.0045,0.0185,0.0123,0.0072,0.0040,0.0095,0.0058,0.0036,0.0,0.0009,0.0078,0.0048,0.0048,0.0014,0.0055,83.300003,84.0,83.209999,83.709999,80.989365,12179200.0
2017-01-24,JPM,US46625H1005,2372.0,457.0,0.0822,0.0121,0.0129,0.0004,0.0032,0.0295,0.0154,0.0110,0.0052,0.0108,0.0010,0.0029,0.0000,0.0020,0.0220,0.0010,0.0019,0.0000,0.0000,83.91999799999999,85.0,83.559998,84.720001,81.966553,15175300.0
2017-01-25,JPM,US46625H1005,8263.0,2704.0,0.5299,0.0124,0.0179,0.0011,0.0086,0.0118,0.0203,0.0060,0.0154,0.0144,0.0107,0.0052,0.0011,0.0029,0.0111,0.0144,0.0022,0.0103,0.0074,85.839996,86.16999799999999,85.16999799999999,86.029999,83.233971,17551000.0
2017-01-26,JPM,US46625H1005,1390.0,628.0,0.3174,0.0115,0.0122,0.0036,0.0043,0.0101,0.0244,0.0065,0.0202,0.0050,0.0063,0.0096,0.0032,0.0048,0.0063,0.0255,0.0048,0.0223,0.0032,85.949997,86.949997,85.949997,86.75,83.930573,15962800.0
2017-01-27,JPM,US46625H1005,4281.0,1310.0,0.4656,0.0075,0.0336,0.0005,0.0077,0.0147,0.0098,0.0075,0.0037,0.0072,0.0076,0.0122,0.0000,0.0031,0.0030,0.0122,0.0000,0.0046,0.0053,86.660004,86.980003,86.269997,86.93,84.104729,12535400.0
2017-01-30,JPM,US46625H1005,1551.0,129.0,0.0991,0.0019,0.0097,0.0,0.0039,0.0174,0.0077,0.0039,0.0019,0.0019,0.0,0.0233,0.0,0.0233,0.0,0.0233,0.0,0.0,0.0,86.190002,86.5,85.32,86.029999,83.233971,13661900.0
2017-01-31,JPM,US46625H1005,2557.0,959.0,0.5055,0.0204,0.0203,0.0004,0.0070,0.0367,0.0094,0.0051,0.0047,0.0090,0.0063,0.0146,0.0000,0.0031,0.0031,0.0063,0.0000,0.0010,0.0073,85.599998,86.150002,84.089996,84.629997,81.879471,15655100.0
2017-02-02,JPM,US46625H1005,1686.0,1890.0,0.3712,0.0032,0.0091,0.0000,0.0032,0.0071,0.0114,0.0018,0.0070,0.0064,0.0032,0.0076,0.0000,0.0010,0.0005,0.0156,0.0005,0.0068,0.0081,84.339996,84.910004,84.160004,84.589996,81.840775,11081400.0
2017-02-03,JPM,US46625H1005,1109.0,686.0,0.3957,0.0121,0.0176,0.0008,0.0060,0.0071,0.0066,0.0058,0.0049,0.0094,0.0115,0.0057,0.0013,0.0041,0.0020,0.0158,0.0007,0.0158,0.0080,86.190002,87.309998,85.870003,87.18,84.346603,17885200.0
