Date,ticker,ISIN,totalwrds,partwrds,RVT,positivescore,negativescore,fearscore,findownscore,finupscore,finhypescore,finvolatilescore,certaintyscore,uncertaintyscore,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,finvolatilePartscr,certaintyPartscr,uncertaintyPartscr,Open,High,Low,Close,Adj Close,Volume
2017-01-03,MSFT,US5949181045,1254.0,1181.0,0.1399,0.0301,0.0096,0.0000,0.0016,0.0129,0.0322,0.0048,0.0177,0.0056,0.0303,0.0103,0.0000,0.0018,0.0137,0.0309,0.0051,0.0154,0.0060,62.790001000000004,62.84,62.130001,62.580002,60.664047,20694100.0
2017-01-04,MSFT,US5949181045,2540.0,2469.0,0.2467,0.0337,0.0041,0.0016,0.0041,0.0091,0.0164,0.0036,0.0093,0.0035,0.0331,0.0041,0.0017,0.0042,0.0092,0.0159,0.0037,0.0089,0.0031,62.48,62.75,62.119999,62.299999,60.392612,21340000.0
2017-01-05,MSFT,US5949181045,130.0,115.0,0.0376,0.0154,0.0231,0.0000,0.0077,0.0154,0.0000,0.0154,0.0000,0.0000,0.0174,0.0174,0.0000,0.0087,0.0174,0.0000,0.0087,0.0000,0.0000,62.189999,62.66,62.029999,62.299999,60.392612,24876000.0
2017-01-06,MSFT,US5949181045,418.0,397.0,0.1194,0.0184,0.0071,0.0000,0.0000,0.0024,0.0187,0.0000,0.0115,0.0096,0.0169,0.0076,0.0000,0.0000,0.0026,0.0172,0.0000,0.0121,0.0101,62.299999,63.150002,62.040001000000004,62.84,60.916084,19922900.0
2017-01-09,MSFT,US5949181045,3765.0,3553.0,0.1478,0.0138,0.0085,0.0009,0.009,0.0138,0.0141,0.0171,0.0053,0.0084,0.0138,0.0087,0.0009,0.0092,0.0138,0.0107,0.0183,0.0039,0.0082,62.759997999999996,63.080002,62.540001000000004,62.639998999999996,60.72220600000001,20256600.0
2017-01-11,MSFT,US5949181045,485.0,441.0,0.0550,0.0165,0.0041,0.0000,0.0000,0.0000,0.0330,0.0041,0.0206,0.0000,0.0137,0.0046,0.0000,0.0000,0.0000,0.0318,0.0046,0.0181,0.0000,62.610001000000004,63.23,62.43,63.189999,61.25536700000001,21517300.0
2017-01-12,MSFT,US5949181045,430.0,430.0,0.0746,0.0628,0.0000,0.0000,0.0023,0.0302,0.0070,0.0140,0.0023,0.0000,0.0628,0.0000,0.0000,0.0023,0.0302,0.0070,0.0140,0.0023,0.0000,63.060001,63.400002,61.950001,62.610001000000004,60.693130000000004,20968200.0
2017-01-13,MSFT,US5949181045,806.0,747.0,0.0885,0.0025,0.0062,0.0000,0.0087,0.0112,0.0174,0.0074,0.0087,0.0037,0.0027,0.0053,0.0000,0.0094,0.0080,0.0188,0.0080,0.0094,0.0040,62.619999,62.869999,62.349998,62.700001,60.780376000000004,19422300.0
2017-01-17,MSFT,US5949181045,2699.0,2368.0,0.4432,0.0152,0.0256,0.0019,0.0111,0.0229,0.0152,0.0045,0.0085,0.0093,0.0169,0.0287,0.0021,0.0114,0.0249,0.0152,0.0042,0.0084,0.0101,62.68,62.700001,62.029999,62.529999,60.615578,20620400.0
2017-01-18,MSFT,US5949181045,134.0,132.0,0.0357,0.0075,0.0224,0.0000,0.0149,0.0149,0.0075,0.0299,0.0075,0.0000,0.0076,0.0227,0.0000,0.0152,0.0152,0.0076,0.0303,0.0076,0.0000,62.669998,62.700001,62.119999,62.5,60.586498,19670100.0
2017-01-19,MSFT,US5949181045,350.0,341.0,0.0323,0.0343,0.0000,0.0000,0.0000,0.0057,0.0029,0.0000,0.0029,0.0029,0.0352,0.0000,0.0000,0.0000,0.0059,0.0029,0.0000,0.0029,0.0029,62.240002000000004,62.98,62.200001,62.299999,60.392612,18451700.0
2017-01-20,MSFT,US5949181045,2595.0,2268.0,0.1289,0.0174,0.0163,0.0007,0.0127,0.0175,0.0206,0.0100,0.0105,0.0137,0.0177,0.0164,0.0008,0.0141,0.0196,0.0204,0.0113,0.0084,0.0157,62.669998,62.82,62.369999,62.740002000000004,60.819148999999996,30213500.0
2017-01-23,MSFT,US5949181045,3693.0,3383.0,0.2590,0.0313,0.0136,0.0003,0.0055,0.0163,0.0131,0.0076,0.0070,0.0063,0.034,0.0117,0.0,0.0045,0.0152,0.0128,0.0063,0.0068,0.0056,62.700001,63.119999,62.57,62.959998999999996,61.03241,23097600.0
2017-01-24,MSFT,US5949181045,1180.0,1103.0,0.0993,0.0178,0.0220,0.0008,0.0017,0.0051,0.0136,0.0042,0.0085,0.0042,0.0163,0.0236,0.0009,0.0018,0.0055,0.0118,0.0045,0.0073,0.0045,63.200001,63.740002000000004,62.939999,63.52,61.575272,24672900.0
2017-01-25,MSFT,US5949181045,92.0,91.0,0.0072,0.0109,0.0109,0.0000,0.0217,0.0109,0.0435,0.0000,0.0435,0.0000,0.0110,0.0110,0.0000,0.0220,0.0110,0.0440,0.0000,0.0440,0.0000,63.950001,64.099998,63.450001,63.68,61.730373,23672700.0
2017-01-27,MSFT,US5949181045,3046.0,2386.0,0.4485,0.0181,0.0420,0.0007,0.0105,0.0328,0.0076,0.0086,0.0039,0.0062,0.0193,0.0323,0.0008,0.0084,0.0369,0.0058,0.0109,0.0038,0.0067,65.389999,65.910004,64.889999,65.779999,63.766079000000005,44818000.0
2017-01-30,MSFT,US5949181045,4700.0,4119.0,0.2626,0.0247,0.0226,0.0021,0.0104,0.0262,0.0082,0.0106,0.0023,0.0085,0.026,0.0209,0.0022,0.0097,0.0257,0.0104,0.0112,0.0046,0.006,65.690002,65.790001,64.800003,65.129997,63.135967,31651400.0
2017-01-31,MSFT,US5949181045,863.0,828.0,0.1607,0.0069,0.0151,0.0011,0.0023,0.0127,0.0116,0.0081,0.0035,0.0058,0.0073,0.0157,0.0012,0.0024,0.0133,0.0109,0.0085,0.0036,0.0049,64.860001,65.150002,64.260002,64.650002,62.670673,25270500.0
2017-02-03,MSFT,US5949181045,1687.0,1484.0,0.3018,0.0136,0.0297,0.0041,0.0065,0.0101,0.0107,0.0107,0.0023,0.0118,0.0142,0.0304,0.0041,0.0067,0.0095,0.0107,0.0108,0.0027,0.0101,63.5,63.700001,63.07,63.68,61.730373,30301800.0
2017-02-07,MSFT,US5949181045,1214.0,1123.0,0.2038,0.0082,0.0317,0.0025,0.0115,0.0214,0.0033,0.0033,0.0033,0.0132,0.0089,0.0324,0.0026,0.0116,0.0214,0.0098,0.0018,0.0044,0.0125,63.740002000000004,63.779999,63.23,63.43,61.488026,20277200.0
2017-02-09,MSFT,US5949181045,548.0,540.0,0.1657,0.0195,0.0366,0.0000,0.0000,0.0110,0.0110,0.0086,0.0073,0.0110,0.0198,0.0371,0.0000,0.0000,0.0111,0.0111,0.0087,0.0074,0.0111,63.52,64.440002,63.32,64.059998,62.098732,22644400.0
2017-02-13,MSFT,US5949181045,925.0,806.0,0.0976,0.0195,0.0119,0.0,0.0075,0.0162,0.0309,0.0309,0.0000,0.0184,0.0187,0.0088,0.0,0.0087,0.0149,0.0323,0.0174,0.0111,0.0112,64.239998,64.860001,64.129997,64.720001,62.738533,22920100.0
2017-02-14,MSFT,US5949181045,149.0,149.0,0.0593,0.0067,0.0134,0.0000,0.0000,0.0067,0.0134,0.0000,0.0000,0.0201,0.0067,0.0134,0.0000,0.0000,0.0067,0.0134,0.0000,0.0000,0.0201,64.410004,64.720001,64.019997,64.57,62.972595,23065900.0
2017-02-15,MSFT,US5949181045,436.0,436.0,0.0309,0.0459,0.0069,0.0000,0.0046,0.0023,0.0206,0.0046,0.0161,0.0000,0.0459,0.0069,0.0000,0.0046,0.0023,0.0206,0.0046,0.0161,0.0000,64.5,64.57,64.160004,64.529999,62.933578000000004,17005200.0
2017-02-17,MSFT,US5949181045,456.0,430.0,0.0433,0.0417,0.0351,0.0022,0.0154,0.0461,0.0373,0.0132,0.0044,0.0263,0.0442,0.0372,0.0023,0.0163,0.0488,0.0395,0.0140,0.0047,0.0279,64.470001,64.690002,64.300003,64.620003,63.02135500000001,21248800.0
2017-02-21,MSFT,US5949181045,2037.0,1888.0,0.0182,0.0256,0.0133,0.001,0.0108,0.0368,0.0091,0.0000,0.0091,0.0059,0.027,0.0132,0.001,0.0095,0.035,0.0101,0.0079,0.0074,0.0053,64.610001,64.949997,64.449997,64.489998,62.894569,20655900.0
