Date,ticker,ISIN,totalwrds,partwrds,RVT,positivescore,negativescore,fearscore,findownscore,finupscore,finhypescore,finvolatilescore,certaintyscore,uncertaintyscore,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,finvolatilePartscr,certaintyPartscr,uncertaintyPartscr,Open,High,Low,Close,Adj Close,Volume
2017-01-05,NFLX,US64110L1061,1059.0,499.0,0.0536,0.0347,0.0179,0.0079,0.0057,0.016,0.0186,0.0069,0.0117,0.0234,0.0294,0.0179,0.0088,0.004,0.006,0.0299,0.006,0.0158,0.0277,129.220001,132.75,128.899994,131.809998,131.809998,10185500.0
2017-01-06,NFLX,US64110L1061,774.0,710.0,0.1747,0.0038,0.0027,0.0000,0.0007,0.0024,0.0034,0.0010,0.0010,0.0082,0.0029,0.0030,0.0000,0.0008,0.0016,0.0033,0.0012,0.0008,0.0086,132.080002,133.880005,129.809998,131.070007,131.070007,10657900.0
2017-01-09,NFLX,US64110L1061,3458.0,1700.0,0.3150,0.0223,0.0087,0.0011,0.0067,0.029,0.0099,0.0091,0.0022,0.0099,0.0247,0.0088,0.0,0.0071,0.0294,0.0147,0.0071,0.0065,0.0142,131.479996,131.990005,129.889999,130.949997,130.949997,5766900.0
2017-01-10,NFLX,US64110L1061,796.0,500.0,0.0828,0.0151,0.0276,0.0025,0.0100,0.0138,0.0100,0.0063,0.0025,0.0050,0.0180,0.0280,0.0040,0.0080,0.0180,0.0080,0.0040,0.0020,0.0040,131.270004,132.220001,129.28999299999998,129.889999,129.889999,5985800.0
2017-01-12,NFLX,US64110L1061,22.0,8.0,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.630005,130.850006,128.5,129.179993,129.179993,5388900.0
2017-01-13,NFLX,US64110L1061,220.0,174.0,0.1793,0.0137,0.0091,0.0000,0.0091,0.0546,0.0091,0.0000,0.0091,0.0045,0.0172,0.0057,0.0000,0.0115,0.0575,0.0115,0.0000,0.0115,0.0058,131.149994,133.929993,130.580002,133.699997,133.699997,10515000.0
2017-01-17,NFLX,US64110L1061,1735.0,968.0,0.1974,0.0144,0.011,0.0,0.015,0.0214,0.0174,0.0087,0.0043,0.0237,0.0155,0.0041,0.0,0.0135,0.0227,0.0341,0.0082,0.0144,0.0258,135.03999299999998,135.399994,132.08999599999999,132.889999,132.889999,12183200.0
2017-01-18,NFLX,US64110L1061,1482.0,968.0,0.2816,0.0183,0.0091,0.0007,0.0064,0.0244,0.0170,0.0095,0.0067,0.0075,0.0207,0.0042,0.0000,0.0052,0.0259,0.0135,0.0083,0.0073,0.0073,133.21000700000002,133.649994,131.059998,133.259995,133.259995,16168600.0
2017-01-19,NFLX,US64110L1061,1527.0,1114.0,0.4058,0.0249,0.0138,0.0020,0.0079,0.0511,0.0157,0.0118,0.0059,0.0105,0.0287,0.0099,0.0018,0.0054,0.0485,0.0179,0.0126,0.0054,0.0108,142.009995,143.46000700000002,138.25,138.41000400000001,138.41000400000001,23203400.0
2017-01-20,NFLX,US64110L1061,1693.0,1182.0,0.2161,0.0101,0.0112,0.0006,0.0035,0.0142,0.0118,0.0041,0.0035,0.0089,0.0084,0.0144,0.0009,0.0051,0.0127,0.0102,0.0051,0.0000,0.0102,139.360001,140.78999299999998,137.66000400000001,138.600006,138.600006,9497400.0
2017-01-23,NFLX,US64110L1061,1150.0,834.0,0.2073,0.0035,0.0061,0.0,0.0026,0.0088,0.0016,0.0000,0.0015,0.0097,0.0036,0.0048,0.0,0.0024,0.006,0.0036,0.0036,0.006,0.0108,138.649994,139.490005,137.309998,137.389999,137.389999,7433900.0
2017-01-24,NFLX,US64110L1061,2270.0,1338.0,0.2406,0.0154,0.0322,0.0009,0.0224,0.0264,0.0176,0.0106,0.0066,0.0079,0.0142,0.0351,0.0007,0.0164,0.0194,0.0187,0.0142,0.0067,0.0112,138.110001,140.929993,137.029999,140.110001,140.110001,7754700.0
2017-01-25,NFLX,US64110L1061,120.0,102.0,0.0340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0196,140.800003,141.389999,139.050003,139.520004,139.520004,7238100.0
2017-01-27,NFLX,US64110L1061,2162.0,903.0,0.2483,0.0213,0.0231,0.0005,0.0060,0.0259,0.0171,0.0102,0.0056,0.0139,0.0232,0.0188,0.0011,0.0022,0.0188,0.0221,0.0078,0.0077,0.0155,139.46000700000002,142.490005,139.0,142.449997,142.449997,8323900.0
2017-01-30,NFLX,US64110L1061,4321.0,1578.0,0.3053,0.0123,0.0227,0.0023,0.0047,0.0077,0.0160,0.0033,0.0095,0.0046,0.0133,0.0304,0.0,0.0013,0.0114,0.0101,0.0057,0.0019,0.0063,141.770004,141.970001,138.800003,141.220001,141.220001,8122500.0
2017-01-31,NFLX,US64110L1061,1330.0,490.0,0.1406,0.0075,0.0233,0.0060,0.0098,0.0030,0.0158,0.0030,0.0098,0.0023,0.0082,0.0265,0.0041,0.0061,0.0041,0.0000,0.0000,0.0000,0.0020,140.550003,141.830002,139.699997,140.71000700000002,140.71000700000002,4411600.0
2017-02-06,NFLX,US64110L1061,1331.0,550.0,0.0891,0.0248,0.0451,0.0015,0.0105,0.0233,0.0180,0.0090,0.0090,0.012,0.0236,0.0472,0.0018,0.0127,0.02,0.02,0.0054,0.0109,0.0127,140.0,141.0,139.16000400000001,140.970001,140.970001,3552100.0
