Date,ticker,ISIN,totalwrds,partwrds,RVT,positivescore,negativescore,fearscore,findownscore,finupscore,finhypescore,finvolatilescore,certaintyscore,uncertaintyscore,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,finvolatilePartscr,certaintyPartscr,uncertaintyPartscr,Open,High,Low,Close,Adj Close,Volume
2017-01-03,TSLA,US88160R1014,2816.0,2678.0,0.4712,0.0254,0.0153,0.0000,0.0017,0.0315,0.0202,0.0045,0.0121,0.0152,0.0250,0.0146,0.0000,0.0018,0.0316,0.0214,0.0047,0.0128,0.0161,214.86000099999998,220.330002,210.960007,216.99000499999997,216.99000499999997,5923300.0
2017-01-04,TSLA,US88160R1014,1953.0,1857.0,0.4136,0.0155,0.0223,0.0005,0.0089,0.0227,0.0220,0.0076,0.0125,0.0108,0.0146,0.0229,0.0000,0.0094,0.0233,0.0231,0.0080,0.0131,0.0113,214.75,228.0,214.309998,226.99000499999997,226.99000499999997,11213500.0
2017-01-05,TSLA,US88160R1014,2329.0,2234.0,0.4322,0.0115,0.0328,0.0030,0.0112,0.0218,0.0184,0.0122,0.0100,0.0119,0.0119,0.0327,0.0031,0.0117,0.0227,0.0178,0.0127,0.0099,0.0114,226.419998,227.479996,221.94999700000002,226.75,226.75,5911700.0
2017-01-06,TSLA,US88160R1014,1393.0,1342.0,0.2801,0.0093,0.0222,0.0050,0.0050,0.0093,0.0115,0.0050,0.0065,0.0086,0.0097,0.0208,0.0052,0.0052,0.0097,0.0104,0.0052,0.0060,0.0082,226.92999300000002,230.309998,225.44999700000002,229.00999500000003,229.00999500000003,5527900.0
2017-01-09,TSLA,US88160R1014,1859.0,1758.0,0.1257,0.0161,0.0231,0.0022,0.0048,0.0177,0.0199,0.0103,0.0082,0.0156,0.0165,0.0245,0.0023,0.0051,0.0182,0.0182,0.0091,0.0085,0.0159,228.97000099999997,231.919998,228.0,231.27999900000003,231.27999900000003,3957000.0
2017-01-10,TSLA,US88160R1014,2737.0,2551.0,0.1820,0.0132,0.0277,0.0000,0.0131,0.0188,0.0167,0.0089,0.0092,0.0050,0.0141,0.0282,0.0000,0.0141,0.0187,0.0164,0.0095,0.0099,0.0039,232.0,232.0,226.88999900000002,229.86999500000002,229.86999500000002,3660000.0
2017-01-11,TSLA,US88160R1014,289.0,274.0,0.1085,0.0000,0.0105,0.0000,0.0069,0.0000,0.0175,0.0036,0.0036,0.0177,0.0000,0.0110,0.0000,0.0073,0.0000,0.0183,0.0037,0.0037,0.0184,229.07000699999998,229.979996,226.67999300000002,229.729996,229.729996,3650800.0
2017-01-12,TSLA,US88160R1014,70.0,63.0,0.0241,0.0143,0.0000,0.0000,0.0000,0.0143,0.0429,0.0286,0.0143,0.0286,0.0159,0.0000,0.0000,0.0000,0.0159,0.0476,0.0317,0.0159,0.0317,229.059998,230.69999700000002,225.580002,229.58999599999999,229.58999599999999,3790200.0
2017-01-13,TSLA,US88160R1014,403.0,389.0,0.1252,0.0174,0.0099,0.0025,0.0025,0.0149,0.0347,0.0050,0.0248,0.0149,0.0180,0.0103,0.0026,0.0026,0.0154,0.0360,0.0051,0.0257,0.0154,230.0,237.850006,229.58999599999999,237.75,237.75,6093000.0
2017-01-19,TSLA,US88160R1014,3326.0,3139.0,0.2783,0.0066,0.0580,0.0069,0.0204,0.0148,0.0141,0.0045,0.0084,0.0105,0.0070,0.0615,0.0073,0.0217,0.0153,0.0150,0.0048,0.0089,0.0112,247.25,248.67999300000002,240.75,243.75999500000003,243.75999500000003,7732300.0
