ticker,ISIN,Date,totalwrds,partwrds,RVT,positivescore,negativescore,fearscore,findownscore,finupscore,finhypescore,finvolatilescore,certaintyscore,uncertaintyscore,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,finvolatilePartscr,certaintyPartscr,uncertaintyPartscr
VZ,US92343V1044,2017-01-03 08:00:00,1128,468,0.0022,0.0124,0.0372,0.0018,0.0160,0.0319,0.0160,0.0177,0.0071,0.0177,0.0171,0.0299,0.0000,0.0085,0.0299,0.0171,0.0171,0.0085,0.0256
VZ,US92343V1044,2017-01-03 10:00:00,486,321,0.0025,0.0309,0.0041,0.0000,0.0021,0.0021,0.0165,0.0000,0.0103,0.0041,0.0343,0.0031,0.0000,0.0000,0.0031,0.0156,0.0000,0.0093,0.0062
VZ,US92343V1044,2017-01-03 11:00:00,489,334,0.0028,0.0307,0.0041,0.0000,0.0020,0.0020,0.0164,0.0000,0.0102,0.0041,0.0329,0.0030,0.0000,0.0000,0.0030,0.0150,0.0000,0.0090,0.0060
VZ,US92343V1044,2017-01-03 14:00:00,11,4,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VZ,US92343V1044,2017-01-03 17:00:00,58,33,0.0027,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VZ,US92343V1044,2017-01-03 23:00:00,639,513,0.0011,0.0329,0.0016,0.0000,0.0016,0.0047,0.0156,0.0000,0.0047,0.0031,0.0331,0.0000,0.0000,0.0019,0.0039,0.0175,0.0000,0.0058,0.0019
VZ,US92343V1044,2017-01-04 15:00:00,89,28,0.0010,0.0000,0.0225,0.0000,0.0000,0.0000,0.0225,0.0000,0.0000,0.0337,0.0000,0.0357,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VZ,US92343V1044,2017-01-04 17:00:00,475,288,0.0102,0.0275,0.0000,0.0000,0.0000,0.0132,0.0204,0.0061,0.0102,0.0041,0.0279,0.0000,0.0000,0.0000,0.0082,0.0230,0.0033,0.0132,0.0066
VZ,US92343V1044,2017-01-04 19:00:00,76,20,0.0042,0.0263,0.0000,0.0000,0.0000,0.0132,0.0132,0.0132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VZ,US92343V1044,2017-01-05 14:00:00,954,594,0.0033,0.0169,0.0041,0.0020,0.0027,0.0047,0.0081,0.0108,0.0041,0.0034,0.0108,0.0043,0.0011,0.0022,0.0054,0.0087,0.0076,0.0032,0.0054
VZ,US92343V1044,2017-01-05 17:00:00,42,0,0.0152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0061,0.0030,0.0000,0.0030,0.0030,0.0061,0.0091,0.0030,0.0061
VZ,US92343V1044,2017-01-05 18:00:00,562,381,0.0099,0.0053,0.0498,0.0000,0.0107,0.0000,0.0249,0.0000,0.0267,0.0000,0.0000,0.0499,0.0000,0.0157,0.0000,0.0367,0.0000,0.0315,0.0000
VZ,US92343V1044,2017-01-05 19:00:00,832,643,0.0089,0.0060,0.0505,0.0000,0.0072,0.0000,0.0216,0.0000,0.0276,0.0000,0.0031,0.0513,0.0000,0.0093,0.0000,0.0280,0.0000,0.0311,0.0000
VZ,US92343V1044,2017-01-05 22:00:00,138,75,0.0022,0.0097,0.0631,0.0000,0.0097,0.0000,0.0194,0.0049,0.0194,0.0146,0.0095,0.0571,0.0000,0.0095,0.0000,0.0381,0.0000,0.0381,0.0286
VZ,US92343V1044,2017-01-05 23:00:00,120,100,0.0046,0.0000,0.0833,0.0000,0.0333,0.0000,0.0167,0.0000,0.0167,0.0000,0.0000,0.1000,0.0000,0.0400,0.0000,0.0200,0.0000,0.0200,0.0000
