Date,ticker,ISIN,totalwrds,partwrds,RVT,positivescore,negativescore,fearscore,findownscore,finupscore,finhypescore,finvolatilescore,certaintyscore,uncertaintyscore,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,finvolatilePartscr,certaintyPartscr,uncertaintyPartscr,Open,High,Low,Close,Adj Close,Volume
2017-01-03,WFC,US9497461015,2620.0,651.0,0.0936,0.0244,0.0161,0.0,0.0107,0.0424,0.0313,0.0191,0.0174,0.0137,0.0124,0.0047,0.0,0.0047,0.0169,0.003,0.0107,0.0,0.003,55.669998,56.349998,55.459998999999996,56.0,53.728504,22063800.0
2017-01-04,WFC,US9497461015,471.0,284.0,0.1245,0.0170,0.0276,0.0000,0.0042,0.0170,0.0085,0.0000,0.0043,0.0043,0.0141,0.0352,0.0000,0.0035,0.0141,0.0035,0.0000,0.0035,0.0035,56.16,56.310001,55.610001000000004,56.049999,53.776478000000004,15036100.0
2017-01-05,WFC,US9497461015,5168.0,1266.0,0.3098,0.0095,0.0373,0.0021,0.0056,0.0054,0.0135,0.0018,0.0064,0.0159,0.0087,0.0332,0.0016,0.0039,0.0024,0.0095,0.0000,0.0055,0.0142,55.490002000000004,55.82,54.48,55.18,52.941768999999994,18831600.0
2017-01-06,WFC,US9497461015,4389.0,1516.0,0.1942,0.0025,0.0419,0.0017,0.0036,0.0048,0.0139,0.0020,0.0084,0.0099,0.0013,0.0392,0.0026,0.0040,0.0053,0.0155,0.0013,0.0052,0.0169,55.259997999999996,55.57,54.700001,55.040001000000004,52.807446,18715900.0
2017-01-09,WFC,US9497461015,3049.0,561.0,0.2070,0.0128,0.0252,0.0015,0.0059,0.0088,0.0183,0.0046,0.0090,0.016,0.0039,0.0265,0.0008,0.0083,0.0122,0.0152,0.0058,0.0091,0.0136,54.68,54.810001,54.18,54.240002000000004,52.039898,21665600.0
2017-01-10,WFC,US9497461015,3519.0,377.0,0.1963,0.0139,0.0287,0.0003,0.0083,0.0137,0.0134,0.0005,0.0114,0.0290,0.0212,0.0239,0.0027,0.0000,0.0212,0.0079,0.0000,0.0027,0.0133,54.349998,55.18,54.259997999999996,54.619999,52.40448,17978200.0
2017-01-11,WFC,US9497461015,3903.0,738.0,0.2066,0.0172,0.0223,0.0005,0.0074,0.0261,0.0103,0.0046,0.0082,0.0105,0.0231,0.0190,0.0000,0.0068,0.0244,0.0082,0.0000,0.0054,0.0027,54.599998,54.799999,53.720001,54.799999,52.577175,21100600.0
2017-01-12,WFC,US9497461015,3963.0,590.0,0.3043,0.0115,0.0258,0.0023,0.0148,0.0302,0.0136,0.0079,0.0064,0.0142,0.0034,0.0262,0.0000,0.0167,0.0448,0.0090,0.0043,0.0051,0.0056,54.650002,54.779999,53.900002,54.5,52.289352,20566600.0
2017-01-13,WFC,US9497461015,23049.0,7394.0,0.6671,0.0157,0.0280,0.0004,0.0213,0.0223,0.0089,0.0071,0.0064,0.0106,0.0129,0.0306,0.0003,0.0215,0.0166,0.0044,0.0086,0.0044,0.0041,55.110001000000004,56.200001,54.650002,55.310001,53.066497999999996,37231600.0
2017-01-17,WFC,US9497461015,4550.0,1670.0,0.0436,0.0308,0.0188,0.0005,0.0103,0.0325,0.0101,0.0000,0.0040,0.0116,0.0377,0.0218,0.0,0.0098,0.0228,0.0067,0.0124,0.0019,0.0082,54.799999,54.959998999999996,53.580002,53.779999,51.598553,26866000.0
2017-01-18,WFC,US9497461015,2310.0,669.0,0.2958,0.0091,0.0459,0.0000,0.0212,0.0125,0.0134,0.0034,0.0208,0.0208,0.0120,0.0448,0.0000,0.0105,0.0194,0.0060,0.0060,0.0119,0.0045,53.779999,54.290001000000004,53.34,54.27,52.068684000000005,21186700.0
2017-01-19,WFC,US9497461015,2574.0,660.0,0.1786,0.0175,0.0167,0.0008,0.0058,0.0066,0.0171,0.0035,0.0136,0.0109,0.0136,0.0076,0.0000,0.0015,0.0060,0.0182,0.0045,0.0212,0.0045,54.240002000000004,54.77,53.860001000000004,54.580002,52.366104,20906900.0
2017-01-20,WFC,US9497461015,383.0,68.0,0.0561,0.0157,0.0339,0.0000,0.0078,0.0078,0.0104,0.0104,0.0078,0.0000,0.0147,0.0294,0.0000,0.0000,0.0147,0.0000,0.0000,0.0000,0.0000,54.75,55.110001000000004,54.619999,55.07,52.836227,24160800.0
2017-01-23,WFC,US9497461015,3951.0,308.0,0.2171,0.0139,0.0212,0.0005,0.0056,0.0119,0.0167,0.0040,0.0094,0.0172,0.026,0.0098,0.0,0.0032,0.0195,0.0098,0.0195,0.0032,0.013,54.709998999999996,55.0,54.150002,54.25,52.049492,17227400.0
2017-01-24,WFC,US9497461015,2020.0,678.0,0.2973,0.0120,0.0259,0.0005,0.0040,0.0171,0.0135,0.0070,0.0025,0.0164,0.0089,0.0266,0.0000,0.0000,0.0118,0.0088,0.0030,0.0029,0.0207,54.360001000000004,55.07,54.130001,54.700001,52.481239,18523300.0
2017-01-25,WFC,US9497461015,4668.0,1153.0,0.3553,0.0171,0.0181,0.0021,0.0048,0.0098,0.0189,0.0043,0.0150,0.0121,0.0079,0.0140,0.0000,0.0026,0.0064,0.0121,0.0035,0.0122,0.0140,55.380001,56.830002,55.279999,56.619999,54.323356999999994,32252100.0
2017-01-26,WFC,US9497461015,519.0,364.0,0.1754,0.0250,0.0000,0.0000,0.0000,0.0058,0.0096,0.0000,0.0116,0.0039,0.0220,0.0000,0.0000,0.0000,0.0000,0.0082,0.0000,0.0082,0.0027,56.610001000000004,57.330002,56.59,57.18,54.860645,23769800.0
2017-01-27,WFC,US9497461015,2606.0,1250.0,0.3039,0.0138,0.0438,0.0012,0.0023,0.0123,0.0165,0.0038,0.0088,0.0188,0.0120,0.0392,0.0008,0.0000,0.0056,0.0072,0.0016,0.0048,0.0056,57.029999,57.110001000000004,56.41,56.59,54.294575,17186200.0
2017-01-30,WFC,US9497461015,1205.0,298.0,0.1481,0.0133,0.0191,0.0033,0.01,0.0224,0.0099,0.0059,0.0020,0.0125,0.0,0.0235,0.0033,0.0134,0.0033,0.0067,0.0,0.0,0.01,56.119999,56.32,55.75,56.080002,53.805264,15961400.0
2017-01-31,WFC,US9497461015,1201.0,574.0,0.2379,0.0100,0.0175,0.0017,0.0058,0.0042,0.0108,0.0042,0.0050,0.0100,0.0070,0.0174,0.0018,0.0052,0.0035,0.0087,0.0000,0.0035,0.0104,55.98,56.380001,55.799999,56.330002,54.04512,22409100.0
2017-02-03,WFC,US9497461015,1734.0,527.0,0.1482,0.0173,0.0109,0.0000,0.0034,0.0040,0.0069,0.0046,0.0029,0.0052,0.0190,0.0019,0.0000,0.0019,0.0000,0.0038,0.0000,0.0038,0.0019,56.880001,57.290001000000004,56.43,57.27,55.320179,19879800.0
2017-02-07,WFC,US9497461015,1296.0,711.0,0.2929,0.0201,0.0109,0.0008,0.0061,0.0108,0.0083,0.0083,0.0092,0.0046,0.0197,0.0056,0.0014,0.0042,0.0084,0.0084,0.0042,0.007,0.0042,56.860001000000004,57.189999,56.27,56.34,54.42184399999999,14937400.0
2017-02-08,WFC,US9497461015,1569.0,796.0,0.0877,0.0204,0.0058,0.0000,0.0038,0.0223,0.0261,0.0076,0.0102,0.0096,0.0251,0.0000,0.0000,0.0000,0.0264,0.0176,0.0050,0.0101,0.0075,56.209998999999996,56.209998999999996,55.169998,55.630001,53.736015,18592200.0
2017-02-09,WFC,US9497461015,675.0,144.0,0.1657,0.0030,0.0237,0.0000,0.0044,0.0044,0.0148,0.0104,0.0059,0.0104,0.0000,0.0347,0.0000,0.0000,0.0000,0.0278,0.0000,0.0000,0.0139,55.630001,56.77,55.630001,56.73,54.798565,15907800.0
2017-02-10,WFC,US9497461015,419.0,257.0,0.0933,0.0358,0.0048,0.0000,0.0000,0.0191,0.0167,0.0000,0.0167,0.0024,0.0272,0.0000,0.0000,0.0000,0.0156,0.0117,0.0000,0.0117,0.0039,57.02,57.040001000000004,56.66,56.860001000000004,54.924137,12268100.0
2017-02-13,WFC,US9497461015,1288.0,609.0,0.0392,0.0177,0.0202,0.0,0.0139,0.0154,0.0187,0.0032,0.0145,0.0039,0.0196,0.0098,0.0,0.0065,0.0115,0.0147,0.0032,0.0098,0.0065,57.07,57.509997999999996,56.889998999999996,57.080002,55.13665,15325300.0
2017-02-14,WFC,US9497461015,2351.0,118.0,0.1405,0.0098,0.0166,0.0004,0.0026,0.0089,0.0183,0.0013,0.0111,0.0166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.130001,58.0,56.990002000000004,57.98,56.006004000000004,16268200.0
2017-02-17,WFC,US9497461015,1944.0,1186.0,0.1057,0.0119,0.0103,0.0005,0.0000,0.0036,0.0036,0.0036,0.0026,0.0051,0.0110,0.0051,0.0000,0.0000,0.0034,0.0025,0.0042,0.0017,0.0025,57.580002,58.099998,57.450001,58.09,56.112263,15783200.0
2017-02-21,WFC,US9497461015,3292.0,913.0,0.1856,0.0096,0.0291,0.0006,0.0071,0.0085,0.0112,0.0056,0.0074,0.0135,0.0079,0.0324,0.0,0.0044,0.0022,0.0077,0.0011,0.0043,0.0089,58.25,58.630001,57.900002,58.25,56.26681899999999,16916800.0
2017-02-22,WFC,US9497461015,4496.0,779.0,0.2833,0.0079,0.0308,0.0000,0.0074,0.0067,0.0147,0.0018,0.0129,0.0187,0.0040,0.0260,0.0000,0.0057,0.0022,0.0082,0.0000,0.0148,0.0134,58.0,58.59,58.0,58.360001000000004,56.373066,12344200.0
2017-02-23,WFC,US9497461015,1298.0,101.0,0.1755,0.0054,0.0239,0.0000,0.0031,0.0039,0.0161,0.0015,0.0131,0.0215,0.0099,0.0198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0198,0.0000,58.43,58.59,58.060001,58.490002000000004,56.498645999999994,13841400.0
2017-02-27,WFC,US9497461015,3969.0,779.0,0.1012,0.02,0.0295,0.001,0.0081,0.025,0.0105,0.0035,0.0123,0.0179,0.0257,0.0244,0.0,0.0039,0.0039,0.0192,0.0141,0.0051,0.0154,57.810001,58.25,57.709998999999996,58.060001,56.083286,10101000.0
2017-02-28,WFC,US9497461015,852.0,441.0,0.1099,0.0179,0.0144,0.0000,0.0096,0.0168,0.0083,0.0000,0.0012,0.0083,0.0207,0.0023,0.0000,0.0069,0.0150,0.0046,0.0000,0.0000,0.0046,57.990002000000004,58.32,57.73,57.880001,55.909416,15558900.0
2017-03-01,WFC,US9497461015,5667.0,1605.0,0.4190,0.0182,0.0190,0.0004,0.0106,0.0142,0.0163,0.0075,0.0108,0.0111,0.0095,0.0185,0.0000,0.0129,0.0017,0.0128,0.0063,0.0086,0.0107,59.110001000000004,59.990002000000004,59.09,59.73,57.696426,25912700.0
2017-03-02,WFC,US9497461015,5384.0,965.0,0.1911,0.0127,0.0244,0.0002,0.0123,0.0177,0.0295,0.0071,0.0146,0.0307,0.0105,0.0164,0.0000,0.0107,0.0089,0.0096,0.0029,0.0092,0.0044,59.779999,59.790001000000004,58.57,58.709998999999996,56.711155000000005,17578600.0
2017-03-03,WFC,US9497461015,2698.0,398.0,0.3208,0.0145,0.0323,0.0000,0.0101,0.0134,0.0162,0.0052,0.0178,0.0146,0.0120,0.0151,0.0000,0.0025,0.0076,0.0055,0.0000,0.0190,0.0060,58.849998,59.240002000000004,58.669998,58.889998999999996,56.885020999999995,14740000.0
2017-03-06,WFC,US9497461015,4327.0,2100.0,0.4599,0.0089,0.0206,0.0021,0.0014,0.0102,0.0104,0.0047,0.0096,0.0049,0.0097,0.0162,0.0,0.0005,0.0067,0.0074,0.0057,0.0078,0.0016,58.540001000000004,58.880001,58.18,58.610001000000004,56.614559,13225500.0
2017-03-07,WFC,US9497461015,663.0,270.0,0.2576,0.0105,0.0181,0.0000,0.0075,0.0151,0.0241,0.0060,0.0211,0.0075,0.0111,0.0074,0.0000,0.0000,0.0037,0.0185,0.0000,0.0185,0.0037,58.43,58.52,58.02,58.299999,56.315113000000004,13099900.0
2017-03-08,WFC,US9497461015,1466.0,319.0,0.1023,0.0096,0.0348,0.0000,0.0144,0.0116,0.0102,0.0034,0.0177,0.0157,0.0031,0.0157,0.0000,0.0188,0.0094,0.0031,0.0000,0.0345,0.0094,58.950001,59.130001,58.169998,58.209998999999996,56.228172,14711300.0
2017-03-09,WFC,US9497461015,2935.0,1244.0,0.4128,0.0116,0.0193,0.0007,0.0042,0.0070,0.0148,0.0020,0.0116,0.0083,0.0126,0.0184,0.0000,0.0064,0.0099,0.0199,0.0016,0.0110,0.0103,58.450001,58.869999,58.200001,58.700001,56.701492,15721500.0
2017-03-10,WFC,US9497461015,1084.0,320.0,0.1735,0.0038,0.0310,0.0018,0.0076,0.0048,0.0265,0.0038,0.0170,0.0152,0.0000,0.0384,0.0000,0.0063,0.0128,0.0384,0.0063,0.0128,0.0256,58.98,59.18,58.52,58.849998,56.846385999999995,15120200.0
2017-03-13,WFC,US9497461015,2085.0,504.0,0.0876,0.0236,0.0189,0.0043,0.0106,0.0257,0.0201,0.0052,0.0045,0.0183,0.0337,0.008,0.0,0.0079,0.0139,0.0099,0.0019,0.006,0.0239,58.830002,59.029999,58.52,58.700001,56.701492,14063500.0
2017-03-14,WFC,US9497461015,3864.0,1090.0,0.2983,0.0115,0.0208,0.0000,0.0053,0.0099,0.0097,0.0039,0.0081,0.0141,0.0156,0.0203,0.0000,0.0031,0.0080,0.0083,0.0019,0.0126,0.0111,58.490002000000004,58.810001,58.25,58.759997999999996,56.759449,10885000.0
2017-03-15,WFC,US9497461015,3052.0,335.0,0.2892,0.0138,0.0351,0.0000,0.0095,0.0057,0.0160,0.0074,0.0115,0.0159,0.0073,0.0509,0.0000,0.0208,0.0022,0.0067,0.0146,0.0135,0.0103,58.900002,59.310001,58.360001000000004,58.709998999999996,56.711155000000005,17777300.0
2017-03-16,WFC,US9497461015,289.0,54.0,0.0551,0.0035,0.0311,0.0000,0.0138,0.0035,0.0035,0.0035,0.0069,0.0104,0.0000,0.0185,0.0000,0.0185,0.0000,0.0000,0.0000,0.0000,0.0000,58.860001000000004,59.41,58.759997999999996,59.32,57.300388,18468200.0
2017-03-17,WFC,US9497461015,1181.0,523.0,0.1731,0.0025,0.0135,0.0000,0.0026,0.0017,0.0195,0.0009,0.0110,0.0017,0.0019,0.0115,0.0000,0.0000,0.0000,0.0229,0.0000,0.0019,0.0000,59.369999,59.41,58.52,58.669998,56.672512,20985700.0
