Date,ticker,ISIN,totalwrds,partwrds,RVT,positivescore,negativescore,fearscore,findownscore,finupscore,finhypescore,finvolatilescore,certaintyscore,uncertaintyscore,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,finvolatilePartscr,certaintyPartscr,uncertaintyPartscr,Open,High,Low,Close,Adj Close,Volume
2017-01-03,WMT,US9311421039,2577.0,1001.0,0.1741,0.0113,0.0198,0.0023,0.0023,0.0109,0.0315,0.0122,0.0012,0.0117,0.009,0.028,0.004,0.004,0.015,0.018,0.0,0.003,0.009,69.239998,69.239998,68.050003,68.660004,66.1166,10473200.0
2017-01-04,WMT,US9311421039,220.0,175.0,0.0953,0.0045,0.0091,0.0000,0.0000,0.0000,0.0045,0.0000,0.0000,0.0091,0.0057,0.0057,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0114,68.660004,69.629997,68.599998,69.059998,66.501785,7918000.0
2017-01-05,WMT,US9311421039,795.0,590.0,0.2461,0.0113,0.0126,0.0000,0.0076,0.0478,0.0164,0.0088,0.0139,0.0063,0.0152,0.0102,0.0000,0.0102,0.0390,0.0186,0.0085,0.0152,0.0051,68.43,69.33000200000001,68.120003,69.209999,66.646225,7099200.0
2017-01-06,WMT,US9311421039,3479.0,2073.0,0.3129,0.0108,0.0168,0.0000,0.0109,0.0243,0.0165,0.0128,0.0078,0.0090,0.0092,0.0106,0.0000,0.0075,0.0203,0.0142,0.0106,0.0058,0.0085,68.410004,68.5,68.010002,68.260002,65.731415,9491100.0
2017-01-09,WMT,US9311421039,3512.0,1594.0,0.2441,0.0217,0.0292,0.0011,0.018,0.0277,0.0202,0.0146,0.0035,0.0136,0.0182,0.0249,0.0,0.0166,0.0291,0.0196,0.0148,0.004,0.0111,68.33000200000001,68.800003,68.32,68.709999,66.164749,8660600.0
2017-01-10,WMT,US9311421039,1931.0,993.0,0.4817,0.0126,0.0122,0.0000,0.0150,0.0191,0.0074,0.0089,0.0058,0.0053,0.0142,0.0107,0.0000,0.0133,0.0177,0.0097,0.0080,0.0087,0.0061,68.639999,69.269997,68.220001,68.230003,65.702538,10256500.0
2017-01-11,WMT,US9311421039,3886.0,2520.0,0.1629,0.0134,0.0197,0.0000,0.0128,0.0093,0.0317,0.0076,0.0192,0.0143,0.0150,0.0204,0.0000,0.0168,0.0102,0.0312,0.0071,0.0160,0.0142,68.199997,68.620003,68.190002,68.529999,65.991425,6697600.0
2017-01-13,WMT,US9311421039,1371.0,1003.0,0.0808,0.0116,0.0058,0.0000,0.0066,0.0051,0.0189,0.0051,0.0175,0.0014,0.0119,0.0060,0.0000,0.0050,0.0050,0.0119,0.0040,0.0119,0.0000,67.980003,68.019997,67.08000200000001,67.129997,64.64328,10012500.0
2017-01-17,WMT,US9311421039,4900.0,2202.0,0.1757,0.0198,0.0121,0.0,0.0084,0.0258,0.0163,0.0093,0.0132,0.0047,0.0205,0.0087,0.0,0.0067,0.0237,0.0091,0.0061,0.0073,0.0014,68.099998,69.290001,68.059998,68.41999799999999,65.88549,13140200.0
2017-01-18,WMT,US9311421039,1704.0,500.0,0.1867,0.0059,0.0194,0.0023,0.0059,0.0053,0.0147,0.0047,0.0129,0.0035,0.0060,0.0220,0.0000,0.0100,0.0060,0.0120,0.0000,0.0160,0.0040,67.879997,68.110001,67.540001,68.110001,65.586975,7321500.0
2017-01-19,WMT,US9311421039,1214.0,455.0,0.0433,0.0066,0.0264,0.0049,0.0107,0.0115,0.0025,0.0058,0.0008,0.0008,0.0088,0.0286,0.0088,0.0066,0.0044,0.0044,0.0022,0.0022,0.0022,68.129997,68.190002,67.480003,67.620003,65.115135,6821100.0
2017-01-20,WMT,US9311421039,2054.0,1154.0,0.3124,0.0070,0.0260,0.0017,0.0208,0.0179,0.0073,0.0204,0.0049,0.0063,0.0096,0.0346,0.0019,0.0321,0.0208,0.0087,0.0243,0.0069,0.0087,67.739998,67.83000200000001,67.019997,67.18,64.691429,12054700.0
2017-01-23,WMT,US9311421039,1224.0,444.0,0.2280,0.0164,0.0262,0.0008,0.0156,0.0204,0.0125,0.0069,0.0069,0.0098,0.0383,0.0405,0.0023,0.0338,0.0248,0.0112,0.0067,0.0023,0.0112,67.010002,67.18,66.559998,66.650002,64.181061,7951400.0
2017-01-24,WMT,US9311421039,1666.0,753.0,0.0692,0.0234,0.0030,0.0000,0.0066,0.0102,0.0216,0.0096,0.0144,0.0030,0.0212,0.0053,0.0000,0.0106,0.0159,0.0119,0.0053,0.0067,0.0053,66.889999,67.410004,66.660004,67.400002,64.903275,10710600.0
2017-01-25,WMT,US9311421039,103.0,36.0,0.0685,0.0097,0.0097,0.0000,0.0194,0.0097,0.0389,0.0000,0.0389,0.0000,0.0000,0.0278,0.0000,0.0556,0.0278,0.0000,0.0000,0.0000,0.0000,67.519997,67.730003,66.790001,66.889999,64.41216999999999,8722900.0
2017-01-26,WMT,US9311421039,161.0,132.0,0.1464,0.0186,0.0559,0.0000,0.0000,0.0124,0.0186,0.0062,0.0062,0.0186,0.0227,0.0530,0.0000,0.0000,0.0152,0.0227,0.0076,0.0076,0.0227,67.129997,67.220001,66.620003,66.730003,64.25810200000001,6504100.0
2017-01-27,WMT,US9311421039,1351.0,428.0,0.1940,0.0067,0.0281,0.0037,0.0052,0.0119,0.0163,0.0074,0.0000,0.0104,0.0047,0.0304,0.0070,0.0047,0.0210,0.0140,0.0094,0.0000,0.0116,66.860001,66.970001,65.279999,65.660004,63.227737,13433600.0
2017-01-30,WMT,US9311421039,876.0,1134.0,0.1096,0.0114,0.0445,0.0,0.0057,0.0206,0.0202,0.0000,0.0000,0.0057,0.0106,0.0291,0.0,0.0071,0.0352,0.0132,0.0132,0.0141,0.0018,65.629997,66.480003,65.629997,66.41999799999999,63.959571999999994,8641500.0
2017-01-31,WMT,US9311421039,1376.0,899.0,0.1791,0.0036,0.0043,0.0000,0.0051,0.0014,0.0196,0.0036,0.0167,0.0029,0.0044,0.0034,0.0000,0.0045,0.0022,0.0189,0.0056,0.0156,0.0034,66.209999,66.889999,65.879997,66.739998,64.267723,9320900.0
2017-02-02,WMT,US9311421039,367.0,261.0,0.1569,0.0109,0.0055,0.0000,0.0000,0.0027,0.0055,0.0055,0.0027,0.0027,0.0115,0.0038,0.0000,0.0000,0.0038,0.0038,0.0038,0.0000,0.0000,66.339996,67.139999,66.339996,66.699997,64.229202,8998700.0
2017-02-03,WMT,US9311421039,1249.0,300.0,0.2475,0.0104,0.0112,0.0008,0.0040,0.0120,0.0224,0.0064,0.0016,0.0096,0.0033,0.0033,0.0000,0.0000,0.0067,0.0200,0.0033,0.0033,0.0167,66.82,66.93,66.440002,66.5,64.036621,7625300.0
2017-02-06,WMT,US9311421039,380.0,246.0,0.3162,0.0079,0.0684,0.0000,0.0079,0.0079,0.0079,0.0105,0.0000,0.0158,0.0122,0.0772,0.0000,0.0000,0.0082,0.0082,0.0041,0.0000,0.0122,66.370003,66.860001,66.370003,66.400002,63.940327,9097200.0
